Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
1	22568	360001	8.05	SeaLevel__00001m.raw	6.27	93.73	1	0
2	22568	360001	7.68	SeaLevel__00002m.raw	6.27	93.73	1	0
3	26221	360001	8	SeaLevel__00003m.raw	7.28	92.72	1	0
4	26221	360001	8.15	SeaLevel__00004m.raw	7.28	92.72	1	0
6	26638	360001	7.77	SeaLevel__00006m.raw	7.40	92.60	1	0
7	26940	360001	7.77	SeaLevel__00007m.raw	7.48	92.52	1	0
8	26940	360001	8.26	SeaLevel__00008m.raw	7.48	92.52	1	0
9	27267	360001	8.12	SeaLevel__00009m.raw	7.57	92.43	1	0
