Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	340078	360001	8.34	SeaLevel__00000m.raw	94.47	5.53	1	0
5	340873	360001	7.61	SeaLevel__00005m.raw	94.69	5.31	1	0
10	341500	360001	7.56	SeaLevel__00010m.raw	94.86	5.14	1	0
15	342222	360001	7.56	SeaLevel__00015m.raw	95.06	4.94	1	0
20	342639	360001	7.82	SeaLevel__00020m.raw	95.18	4.82	1	0
25	343191	360001	7.56	SeaLevel__00025m.raw	95.33	4.67	1	0
30	343540	360001	7.55	SeaLevel__00030m.raw	95.43	4.57	1	0
35	344027	360001	7.58	SeaLevel__00035m.raw	95.56	4.44	1	0
40	344316	360001	7.81	SeaLevel__00040m.raw	95.64	4.36	1	0
45	344753	360001	7.55	SeaLevel__00045m.raw	95.76	4.24	1	0
50	345098	360001	7.56	SeaLevel__00050m.raw	95.86	4.14	1	0
55	345530	360001	7.6	SeaLevel__00055m.raw	95.98	4.02	1	0
60	345769	360001	7.8	SeaLevel__00060m.raw	96.05	3.95	1	0
65	346090	360001	7.56	SeaLevel__00065m.raw	96.14	3.86	1	0
70	346310	360001	7.53	SeaLevel__00070m.raw	96.20	3.80	1	0
75	346667	360001	7.78	SeaLevel__00075m.raw	96.30	3.70	1	0
80	346908	360001	7.82	SeaLevel__00080m.raw	96.36	3.64	1	0
85	347267	360001	7.54	SeaLevel__00085m.raw	96.46	3.54	1	0
90	347500	360001	7.55	SeaLevel__00090m.raw	96.53	3.47	1	0
95	347831	360001	7.62	SeaLevel__00095m.raw	96.62	3.38	1	0
100	348036	360001	7.94	SeaLevel__00100m.raw	96.68	3.32	1	0
105	348314	360001	7.56	SeaLevel__00105m.raw	96.75	3.25	1	0
110	348459	360001	7.6	SeaLevel__00110m.raw	96.79	3.21	1	0
115	348684	360001	7.56	SeaLevel__00115m.raw	96.86	3.14	1	0
120	348836	360001	7.82	SeaLevel__00120m.raw	96.90	3.10	1	0
125	349026	360001	7.54	SeaLevel__00125m.raw	96.95	3.05	1	0
130	349152	360001	7.7	SeaLevel__00130m.raw	96.99	3.01	1	0
135	349341	360001	7.56	SeaLevel__00135m.raw	97.04	2.96	1	0
140	349467	360001	7.81	SeaLevel__00140m.raw	97.07	2.93	1	0
145	349658	360001	7.63	SeaLevel__00145m.raw	97.13	2.87	1	0
150	349781	360001	7.78	SeaLevel__00150m.raw	97.16	2.84	1	0
155	349974	360001	7.56	SeaLevel__00155m.raw	97.21	2.79	1	0
160	350083	360001	7.88	SeaLevel__00160m.raw	97.25	2.75	1	0
165	350256	360001	7.55	SeaLevel__00165m.raw	97.29	2.71	1	0
170	350339	360001	7.6	SeaLevel__00170m.raw	97.32	2.68	1	0
175	350484	360001	7.57	SeaLevel__00175m.raw	97.36	2.64	1	0
180	350579	360001	7.96	SeaLevel__00180m.raw	97.38	2.62	1	0
185	350729	360001	7.56	SeaLevel__00185m.raw	97.42	2.58	1	0
190	350827	360001	7.61	SeaLevel__00190m.raw	97.45	2.55	1	0
195	350977	360001	7.54	SeaLevel__00195m.raw	97.49	2.51	1	0
200	351072	360001	7.92	SeaLevel__00200m.raw	97.52	2.48	1	0
