Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
1	186559	360001	7.63	SeaLevel__00001m.raw	51.82	48.18	1	0
2	186559	360001	7.65	SeaLevel__00002m.raw	51.82	48.18	1	0
3	192100	360001	7.59	SeaLevel__00003m.raw	53.36	46.64	1	0
4	192100	360001	8.58	SeaLevel__00004m.raw	53.36	46.64	1	0
6	194154	360001	7.63	SeaLevel__00006m.raw	53.93	46.07	1	0
7	195955	360001	7.61	SeaLevel__00007m.raw	54.43	45.57	1	0
8	195955	360001	7.72	SeaLevel__00008m.raw	54.43	45.57	1	0
9	197557	360001	7.88	SeaLevel__00009m.raw	54.88	45.12	1	0
