Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	258089	360001	7.71	SeaLevel__00000m.raw	71.69	28.31	1	0
5	260538	360001	7.83	SeaLevel__00005m.raw	72.37	27.63	1	0
10	262282	360001	7.51	SeaLevel__00010m.raw	72.86	27.14	1	0
15	265567	360001	7.6	SeaLevel__00015m.raw	73.77	26.23	1	0
20	268209	360001	7.55	SeaLevel__00020m.raw	74.50	25.50	1	0
25	272733	360001	7.83	SeaLevel__00025m.raw	75.76	24.24	1	0
30	275973	360001	7.55	SeaLevel__00030m.raw	76.66	23.34	1	0
35	280861	360001	7.58	SeaLevel__00035m.raw	78.02	21.98	1	0
40	284116	360001	7.55	SeaLevel__00040m.raw	78.92	21.08	1	0
45	288989	360001	7.87	SeaLevel__00045m.raw	80.27	19.73	1	0
50	292330	360001	7.54	SeaLevel__00050m.raw	81.20	18.80	1	0
55	296946	360001	7.59	SeaLevel__00055m.raw	82.48	17.52	1	0
60	299977	360001	7.58	SeaLevel__00060m.raw	83.33	16.67	1	0
65	304298	360001	7.83	SeaLevel__00065m.raw	84.53	15.47	1	0
70	307192	360001	7.57	SeaLevel__00070m.raw	85.33	14.67	1	0
75	311149	360001	7.64	SeaLevel__00075m.raw	86.43	13.57	1	0
80	313457	360001	7.64	SeaLevel__00080m.raw	87.07	12.93	1	0
85	316563	360001	7.87	SeaLevel__00085m.raw	87.93	12.07	1	0
90	318496	360001	7.55	SeaLevel__00090m.raw	88.47	11.53	1	0
95	320945	360001	7.58	SeaLevel__00095m.raw	89.15	10.85	1	0
100	322390	360001	7.57	SeaLevel__00100m.raw	89.55	10.45	1	0
105	324227	360001	7.83	SeaLevel__00105m.raw	90.06	9.94	1	0
110	325430	360001	7.61	SeaLevel__00110m.raw	90.40	9.60	1	0
115	327083	360001	7.57	SeaLevel__00115m.raw	90.86	9.14	1	0
120	328114	360001	7.55	SeaLevel__00120m.raw	91.14	8.86	1	0
125	329506	360001	7.84	SeaLevel__00125m.raw	91.53	8.47	1	0
130	330382	360001	7.63	SeaLevel__00130m.raw	91.77	8.23	1	0
135	331604	360001	7.55	SeaLevel__00135m.raw	92.11	7.89	1	0
140	332386	360001	7.56	SeaLevel__00140m.raw	92.33	7.67	1	0
145	333489	360001	7.85	SeaLevel__00145m.raw	92.64	7.36	1	0
150	334221	360001	7.58	SeaLevel__00150m.raw	92.84	7.16	1	0
155	335286	360001	7.57	SeaLevel__00155m.raw	93.13	6.87	1	0
160	335975	360001	7.62	SeaLevel__00160m.raw	93.33	6.67	1	0
165	336929	360001	7.9	SeaLevel__00165m.raw	93.59	6.41	1	0
170	337544	360001	7.63	SeaLevel__00170m.raw	93.76	6.24	1	0
175	338395	360001	7.59	SeaLevel__00175m.raw	94.00	6.00	1	0
180	339024	360001	7.57	SeaLevel__00180m.raw	94.17	5.83	1	0
185	339797	360001	7.95	SeaLevel__00185m.raw	94.39	5.61	1	0
190	340262	360001	7.62	SeaLevel__00190m.raw	94.52	5.48	1	0
195	340969	360001	7.59	SeaLevel__00195m.raw	94.71	5.29	1	0
200	341425	360001	7.56	SeaLevel__00200m.raw	94.84	5.16	1	0
