Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
1	315308	360001	7.76	SeaLevel__00001m.raw	87.59	12.41	1	0
2	315308	360001	7.75	SeaLevel__00002m.raw	87.59	12.41	1	0
3	318155	360001	7.76	SeaLevel__00003m.raw	88.38	11.62	1	0
4	318155	360001	8.07	SeaLevel__00004m.raw	88.38	11.62	1	0
6	320179	360001	7.72	SeaLevel__00006m.raw	88.94	11.06	1	0
7	320930	360001	7.78	SeaLevel__00007m.raw	89.15	10.85	1	0
8	320930	360001	7.81	SeaLevel__00008m.raw	89.15	10.85	1	0
9	321625	360001	8.2	SeaLevel__00009m.raw	89.34	10.66	1	0
