Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	241205	360001	7.9	SeaLevel__00250m.raw	67.00	33.00	1	0
500	279966	360001	7.71	SeaLevel__00500m.raw	77.77	22.23	1	0
750	304366	360001	7.94	SeaLevel__00750m.raw	84.55	15.45	1	0
1000	323759	360001	8.79	SeaLevel__01000m.raw	89.93	10.07	1	0
1250	337860	360001	7.94	SeaLevel__01250m.raw	93.85	6.15	1	0
1500	344332	360001	7.79	SeaLevel__01500m.raw	95.65	4.35	1	0
1750	348332	360001	8.07	SeaLevel__01750m.raw	96.76	3.24	1	0
2000	350744	360001	7.77	SeaLevel__02000m.raw	97.43	2.57	1	0
2250	352424	360001	7.96	SeaLevel__02250m.raw	97.90	2.10	1	0
2500	353812	360001	7.82	SeaLevel__02500m.raw	98.28	1.72	1	0
2750	354954	360001	8.67	SeaLevel__02750m.raw	98.60	1.40	1	0
3000	355848	360001	8.11	SeaLevel__03000m.raw	98.85	1.15	1	0
