Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	248666	360001	7.68	SeaLevel__00000m.raw	69.07	30.93	1	0
5	249548	360001	7.52	SeaLevel__00005m.raw	69.32	30.68	1	0
10	249926	360001	7.68	SeaLevel__00010m.raw	69.42	30.58	1	0
15	250512	360001	7.79	SeaLevel__00015m.raw	69.59	30.41	1	0
20	250868	360001	7.51	SeaLevel__00020m.raw	69.69	30.31	1	0
25	251381	360001	7.48	SeaLevel__00025m.raw	69.83	30.17	1	0
30	251711	360001	7.49	SeaLevel__00030m.raw	69.92	30.08	1	0
35	252191	360001	7.8	SeaLevel__00035m.raw	70.05	29.95	1	0
40	252503	360001	7.51	SeaLevel__00040m.raw	70.14	29.86	1	0
45	252911	360001	7.5	SeaLevel__00045m.raw	70.25	29.75	1	0
50	253218	360001	7.58	SeaLevel__00050m.raw	70.34	29.66	1	0
55	253630	360001	7.82	SeaLevel__00055m.raw	70.45	29.55	1	0
60	253889	360001	7.52	SeaLevel__00060m.raw	70.52	29.48	1	0
65	254284	360001	7.55	SeaLevel__00065m.raw	70.63	29.37	1	0
70	254513	360001	7.53	SeaLevel__00070m.raw	70.70	29.30	1	0
75	254872	360001	7.82	SeaLevel__00075m.raw	70.80	29.20	1	0
80	255110	360001	7.5	SeaLevel__00080m.raw	70.86	29.14	1	0
85	255474	360001	7.75	SeaLevel__00085m.raw	70.96	29.04	1	0
90	255742	360001	7.49	SeaLevel__00090m.raw	71.04	28.96	1	0
95	256118	360001	7.79	SeaLevel__00095m.raw	71.14	28.86	1	0
100	256338	360001	7.51	SeaLevel__00100m.raw	71.20	28.80	1	0
105	256685	360001	7.51	SeaLevel__00105m.raw	71.30	28.70	1	0
110	256931	360001	7.48	SeaLevel__00110m.raw	71.37	28.63	1	0
115	257283	360001	7.74	SeaLevel__00115m.raw	71.47	28.53	1	0
120	257529	360001	7.47	SeaLevel__00120m.raw	71.54	28.46	1	0
125	257893	360001	7.51	SeaLevel__00125m.raw	71.64	28.36	1	0
130	258153	360001	7.49	SeaLevel__00130m.raw	71.71	28.29	1	0
135	258526	360001	7.79	SeaLevel__00135m.raw	71.81	28.19	1	0
140	258775	360001	7.51	SeaLevel__00140m.raw	71.88	28.12	1	0
145	259188	360001	7.52	SeaLevel__00145m.raw	72.00	28.00	1	0
150	259463	360001	7.5	SeaLevel__00150m.raw	72.07	27.93	1	0
155	260004	360001	7.76	SeaLevel__00155m.raw	72.22	27.78	1	0
160	260285	360001	7.48	SeaLevel__00160m.raw	72.30	27.70	1	0
165	260723	360001	7.56	SeaLevel__00165m.raw	72.42	27.58	1	0
170	260954	360001	7.53	SeaLevel__00170m.raw	72.49	27.51	1	0
175	261343	360001	7.77	SeaLevel__00175m.raw	72.60	27.40	1	0
180	261584	360001	7.51	SeaLevel__00180m.raw	72.66	27.34	1	0
185	261932	360001	7.49	SeaLevel__00185m.raw	72.76	27.24	1	0
190	262214	360001	7.54	SeaLevel__00190m.raw	72.84	27.16	1	0
195	262595	360001	7.9	SeaLevel__00195m.raw	72.94	27.06	1	0
200	262828	360001	7.54	SeaLevel__00200m.raw	73.01	26.99	1	0
