Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	127004	360001	7.7	SeaLevel__00000m.raw	35.28	64.72	1	0
5	130040	360001	7.43	SeaLevel__00005m.raw	36.12	63.88	1	0
10	132707	360001	7.49	SeaLevel__00010m.raw	36.86	63.14	1	0
15	135963	360001	7.47	SeaLevel__00015m.raw	37.77	62.23	1	0
20	137891	360001	7.71	SeaLevel__00020m.raw	38.30	61.70	1	0
25	140535	360001	7.44	SeaLevel__00025m.raw	39.04	60.96	1	0
30	142124	360001	7.47	SeaLevel__00030m.raw	39.48	60.52	1	0
35	144542	360001	7.45	SeaLevel__00035m.raw	40.15	59.85	1	0
40	146030	360001	7.67	SeaLevel__00040m.raw	40.56	59.44	1	0
45	148309	360001	7.42	SeaLevel__00045m.raw	41.20	58.80	1	0
50	149777	360001	7.42	SeaLevel__00050m.raw	41.60	58.40	1	0
55	152002	360001	7.49	SeaLevel__00055m.raw	42.22	57.78	1	0
60	153452	360001	7.75	SeaLevel__00060m.raw	42.63	57.37	1	0
65	155800	360001	7.48	SeaLevel__00065m.raw	43.28	56.72	1	0
70	157445	360001	7.46	SeaLevel__00070m.raw	43.73	56.27	1	0
75	160111	360001	7.55	SeaLevel__00075m.raw	44.48	55.52	1	0
80	162243	360001	7.7	SeaLevel__00080m.raw	45.07	54.93	1	0
85	165455	360001	7.46	SeaLevel__00085m.raw	45.96	54.04	1	0
90	167791	360001	7.48	SeaLevel__00090m.raw	46.61	53.39	1	0
95	171391	360001	7.52	SeaLevel__00095m.raw	47.61	52.39	1	0
100	173594	360001	7.84	SeaLevel__00100m.raw	48.22	51.78	1	0
105	176716	360001	7.46	SeaLevel__00105m.raw	49.09	50.91	1	0
110	178610	360001	7.5	SeaLevel__00110m.raw	49.61	50.39	1	0
115	181414	360001	7.48	SeaLevel__00115m.raw	50.39	49.61	1	0
120	183284	360001	7.75	SeaLevel__00120m.raw	50.91	49.09	1	0
125	186176	360001	7.46	SeaLevel__00125m.raw	51.72	48.28	1	0
130	188034	360001	7.44	SeaLevel__00130m.raw	52.23	47.77	1	0
135	190709	360001	7.49	SeaLevel__00135m.raw	52.97	47.03	1	0
140	192598	360001	7.76	SeaLevel__00140m.raw	53.50	46.50	1	0
145	195429	360001	7.48	SeaLevel__00145m.raw	54.29	45.71	1	0
150	197250	360001	7.48	SeaLevel__00150m.raw	54.79	45.21	1	0
155	200106	360001	7.5	SeaLevel__00155m.raw	55.58	44.42	1	0
160	201953	360001	7.89	SeaLevel__00160m.raw	56.10	43.90	1	0
165	204674	360001	7.47	SeaLevel__00165m.raw	56.85	43.15	1	0
170	206420	360001	7.52	SeaLevel__00170m.raw	57.34	42.66	1	0
175	209060	360001	7.48	SeaLevel__00175m.raw	58.07	41.93	1	0
180	210771	360001	7.89	SeaLevel__00180m.raw	58.55	41.45	1	0
185	213159	360001	7.5	SeaLevel__00185m.raw	59.21	40.79	1	0
190	214761	360001	7.67	SeaLevel__00190m.raw	59.66	40.34	1	0
195	217169	360001	7.52	SeaLevel__00195m.raw	60.32	39.68	1	0
200	218695	360001	7.84	SeaLevel__00200m.raw	60.75	39.25	1	0
