Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	15720	360001	7.6	SeaLevel__00000m.raw	4.37	95.63	1	0
5	17030	360001	7.41	SeaLevel__00005m.raw	4.73	95.27	1	0
10	17569	360001	7.4	SeaLevel__00010m.raw	4.88	95.12	1	0
15	18511	360001	7.76	SeaLevel__00015m.raw	5.14	94.86	1	0
20	19094	360001	7.46	SeaLevel__00020m.raw	5.30	94.70	1	0
25	20097	360001	7.37	SeaLevel__00025m.raw	5.58	94.42	1	0
30	20854	360001	7.44	SeaLevel__00030m.raw	5.79	94.21	1	0
35	21848	360001	7.65	SeaLevel__00035m.raw	6.07	93.93	1	0
40	22336	360001	7.49	SeaLevel__00040m.raw	6.20	93.80	1	0
45	23089	360001	7.39	SeaLevel__00045m.raw	6.41	93.59	1	0
50	23576	360001	7.4	SeaLevel__00050m.raw	6.55	93.45	1	0
55	24456	360001	7.69	SeaLevel__00055m.raw	6.79	93.21	1	0
60	25147	360001	7.4	SeaLevel__00060m.raw	6.99	93.01	1	0
65	26262	360001	7.42	SeaLevel__00065m.raw	7.29	92.71	1	0
70	26813	360001	7.4	SeaLevel__00070m.raw	7.45	92.55	1	0
75	27600	360001	7.75	SeaLevel__00075m.raw	7.67	92.33	1	0
80	28146	360001	7.45	SeaLevel__00080m.raw	7.82	92.18	1	0
85	29095	360001	7.45	SeaLevel__00085m.raw	8.08	91.92	1	0
90	29761	360001	7.42	SeaLevel__00090m.raw	8.27	91.73	1	0
95	30736	360001	7.69	SeaLevel__00095m.raw	8.54	91.46	1	0
100	31282	360001	7.42	SeaLevel__00100m.raw	8.69	91.31	1	0
105	32016	360001	7.45	SeaLevel__00105m.raw	8.89	91.11	1	0
110	32566	360001	7.4	SeaLevel__00110m.raw	9.05	90.95	1	0
115	33489	360001	7.77	SeaLevel__00115m.raw	9.30	90.70	1	0
120	34288	360001	7.42	SeaLevel__00120m.raw	9.52	90.48	1	0
125	35493	360001	7.45	SeaLevel__00125m.raw	9.86	90.14	1	0
130	36105	360001	7.43	SeaLevel__00130m.raw	10.03	89.97	1	0
135	37021	360001	7.69	SeaLevel__00135m.raw	10.28	89.72	1	0
140	37605	360001	7.42	SeaLevel__00140m.raw	10.45	89.55	1	0
145	38800	360001	7.44	SeaLevel__00145m.raw	10.78	89.22	1	0
150	39764	360001	7.43	SeaLevel__00150m.raw	11.05	88.95	1	0
155	42894	360001	7.7	SeaLevel__00155m.raw	11.91	88.09	1	0
160	50159	360001	7.44	SeaLevel__00160m.raw	13.93	86.07	1	0
165	52811	360001	7.41	SeaLevel__00165m.raw	14.67	85.33	1	0
170	54125	360001	7.4	SeaLevel__00170m.raw	15.03	84.97	1	0
175	55978	360001	7.7	SeaLevel__00175m.raw	15.55	84.45	1	0
180	57447	360001	7.42	SeaLevel__00180m.raw	15.96	84.04	1	0
185	59381	360001	7.43	SeaLevel__00185m.raw	16.49	83.51	1	0
190	60663	360001	7.43	SeaLevel__00190m.raw	16.85	83.15	1	0
195	62585	360001	7.8	SeaLevel__00195m.raw	17.38	82.62	1	0
200	63861	360001	7.48	SeaLevel__00200m.raw	17.74	82.26	1	0
