Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	305854	360001	7.6	SeaLevel__00250m.raw	84.96	15.04	1	0
500	307663	360001	7.59	SeaLevel__00500m.raw	85.46	14.54	1	0
750	310575	360001	7.68	SeaLevel__00750m.raw	86.27	13.73	1	0
1000	313560	360001	7.97	SeaLevel__01000m.raw	87.10	12.90	1	0
1250	317103	360001	7.64	SeaLevel__01250m.raw	88.08	11.92	1	0
1500	323195	360001	7.6	SeaLevel__01500m.raw	89.78	10.22	1	0
1750	329775	360001	7.62	SeaLevel__01750m.raw	91.60	8.40	1	0
2000	337102	360001	7.92	SeaLevel__02000m.raw	93.64	6.36	1	0
2250	345666	360001	7.62	SeaLevel__02250m.raw	96.02	3.98	1	0
2500	354001	360001	7.63	SeaLevel__02500m.raw	98.33	1.67	1	0
2750	359921	360001	7.67	SeaLevel__02750m.raw	99.98	0.02	1	0
3000	360001	360001	7.98	SeaLevel__03000m.raw	100.00	0.00	1	0
