Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	252590	360001	7.56	SeaLevel__00250m.raw	70.16	29.84	1	0
500	258035	360001	7.58	SeaLevel__00500m.raw	71.68	28.32	1	0
750	264919	360001	7.57	SeaLevel__00750m.raw	73.59	26.41	1	0
1000	276657	360001	7.95	SeaLevel__01000m.raw	76.85	23.15	1	0
1250	316286	360001	7.86	SeaLevel__01250m.raw	87.86	12.14	1	0
1500	346709	360001	7.59	SeaLevel__01500m.raw	96.31	3.69	1	0
1750	358455	360001	7.6	SeaLevel__01750m.raw	99.57	0.43	1	0
2000	359870	360001	7.97	SeaLevel__02000m.raw	99.96	0.04	1	0
2250	359976	360001	7.82	SeaLevel__02250m.raw	99.99	0.01	1	0
2500	360001	360001	7.62	SeaLevel__02500m.raw	100.00	0.00	1	0
2750	360001	360001	7.65	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	360001	360001	7.99	SeaLevel__03000m.raw	100.00	0.00	1	0
