Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	165435	360001	7.98	SeaLevel__00000m.raw	45.95	54.05	1	0
5	167808	360001	7.77	SeaLevel__00005m.raw	46.61	53.39	1	0
10	168574	360001	7.49	SeaLevel__00010m.raw	46.83	53.17	1	0
15	170118	360001	7.48	SeaLevel__00015m.raw	47.25	52.75	1	0
20	171052	360001	7.52	SeaLevel__00020m.raw	47.51	52.49	1	0
25	172434	360001	7.76	SeaLevel__00025m.raw	47.90	52.10	1	0
30	173518	360001	7.51	SeaLevel__00030m.raw	48.20	51.80	1	0
35	175403	360001	7.48	SeaLevel__00035m.raw	48.72	51.28	1	0
40	176378	360001	7.67	SeaLevel__00040m.raw	48.99	51.01	1	0
45	178054	360001	7.76	SeaLevel__00045m.raw	49.46	50.54	1	0
50	179118	360001	7.48	SeaLevel__00050m.raw	49.75	50.25	1	0
55	180743	360001	7.49	SeaLevel__00055m.raw	50.21	49.79	1	0
60	182009	360001	7.49	SeaLevel__00060m.raw	50.56	49.44	1	0
65	184177	360001	7.8	SeaLevel__00065m.raw	51.16	48.84	1	0
70	185275	360001	7.49	SeaLevel__00070m.raw	51.47	48.53	1	0
75	186890	360001	7.51	SeaLevel__00075m.raw	51.91	48.09	1	0
80	187929	360001	7.47	SeaLevel__00080m.raw	52.20	47.80	1	0
85	189290	360001	7.78	SeaLevel__00085m.raw	52.58	47.42	1	0
90	190236	360001	7.48	SeaLevel__00090m.raw	52.84	47.16	1	0
95	191806	360001	7.51	SeaLevel__00095m.raw	53.28	46.72	1	0
100	192954	360001	7.48	SeaLevel__00100m.raw	53.60	46.40	1	0
105	194631	360001	7.75	SeaLevel__00105m.raw	54.06	45.94	1	0
110	195682	360001	7.48	SeaLevel__00110m.raw	54.36	45.64	1	0
115	197263	360001	7.54	SeaLevel__00115m.raw	54.80	45.20	1	0
120	198401	360001	7.48	SeaLevel__00120m.raw	55.11	44.89	1	0
125	200625	360001	7.74	SeaLevel__00125m.raw	55.73	44.27	1	0
130	201702	360001	7.5	SeaLevel__00130m.raw	56.03	43.97	1	0
135	203290	360001	7.49	SeaLevel__00135m.raw	56.47	43.53	1	0
140	204515	360001	7.5	SeaLevel__00140m.raw	56.81	43.19	1	0
145	206104	360001	7.91	SeaLevel__00145m.raw	57.25	42.75	1	0
150	207191	360001	7.51	SeaLevel__00150m.raw	57.55	42.45	1	0
155	209008	360001	7.52	SeaLevel__00155m.raw	58.06	41.94	1	0
160	210008	360001	7.48	SeaLevel__00160m.raw	58.34	41.66	1	0
165	211480	360001	7.81	SeaLevel__00165m.raw	58.74	41.26	1	0
170	212470	360001	7.49	SeaLevel__00170m.raw	59.02	40.98	1	0
175	213961	360001	7.48	SeaLevel__00175m.raw	59.43	40.57	1	0
180	214971	360001	7.49	SeaLevel__00180m.raw	59.71	40.29	1	0
185	216622	360001	7.83	SeaLevel__00185m.raw	60.17	39.83	1	0
190	217525	360001	7.53	SeaLevel__00190m.raw	60.42	39.58	1	0
195	218889	360001	7.5	SeaLevel__00195m.raw	60.80	39.20	1	0
200	219839	360001	7.5	SeaLevel__00200m.raw	61.07	38.93	1	0
