Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	231724	360001	7.66	SeaLevel__00250m.raw	64.37	35.63	1	0
500	275380	360001	8.13	SeaLevel__00500m.raw	76.49	23.51	1	0
750	305722	360001	8.38	SeaLevel__00750m.raw	84.92	15.08	1	0
1000	327194	360001	7.95	SeaLevel__01000m.raw	90.89	9.11	1	0
1250	341073	360001	8.37	SeaLevel__01250m.raw	94.74	5.26	1	0
1500	349503	360001	8.49	SeaLevel__01500m.raw	97.08	2.92	1	0
1750	354302	360001	8.45	SeaLevel__01750m.raw	98.42	1.58	1	0
2000	356671	360001	8.31	SeaLevel__02000m.raw	99.08	0.92	1	0
2250	357948	360001	8.11	SeaLevel__02250m.raw	99.43	0.57	1	0
2500	358753	360001	8.25	SeaLevel__02500m.raw	99.65	0.35	1	0
2750	359255	360001	8.07	SeaLevel__02750m.raw	99.79	0.21	1	0
3000	359543	360001	8.64	SeaLevel__03000m.raw	99.87	0.13	1	0
