Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	126317	360001	7.48	SeaLevel__00000m.raw	35.09	64.91	1	0
5	137753	360001	7.5	SeaLevel__00005m.raw	38.26	61.74	1	0
10	139866	360001	7.81	SeaLevel__00010m.raw	38.85	61.15	1	0
15	142228	360001	7.55	SeaLevel__00015m.raw	39.51	60.49	1	0
20	143529	360001	7.49	SeaLevel__00020m.raw	39.87	60.13	1	0
25	145321	360001	7.53	SeaLevel__00025m.raw	40.37	59.63	1	0
30	146489	360001	7.85	SeaLevel__00030m.raw	40.69	59.31	1	0
35	149549	360001	7.53	SeaLevel__00035m.raw	41.54	58.46	1	0
40	150750	360001	7.46	SeaLevel__00040m.raw	41.87	58.13	1	0
45	152353	360001	7.51	SeaLevel__00045m.raw	42.32	57.68	1	0
50	153367	360001	7.84	SeaLevel__00050m.raw	42.60	57.40	1	0
55	154793	360001	7.54	SeaLevel__00055m.raw	43.00	57.00	1	0
60	155685	360001	7.48	SeaLevel__00060m.raw	43.25	56.75	1	0
65	156991	360001	7.49	SeaLevel__00065m.raw	43.61	56.39	1	0
70	157869	360001	7.83	SeaLevel__00070m.raw	43.85	56.15	1	0
75	159153	360001	7.49	SeaLevel__00075m.raw	44.21	55.79	1	0
80	159980	360001	7.42	SeaLevel__00080m.raw	44.44	55.56	1	0
85	161258	360001	7.44	SeaLevel__00085m.raw	44.79	55.21	1	0
90	162060	360001	7.91	SeaLevel__00090m.raw	45.02	54.98	1	0
95	163220	360001	7.48	SeaLevel__00095m.raw	45.34	54.66	1	0
100	163939	360001	7.49	SeaLevel__00100m.raw	45.54	54.46	1	0
105	165102	360001	7.49	SeaLevel__00105m.raw	45.86	54.14	1	0
110	165931	360001	7.68	SeaLevel__00110m.raw	46.09	53.91	1	0
115	167698	360001	7.46	SeaLevel__00115m.raw	46.58	53.42	1	0
120	168604	360001	7.47	SeaLevel__00120m.raw	46.83	53.17	1	0
125	169937	360001	7.47	SeaLevel__00125m.raw	47.20	52.80	1	0
130	170830	360001	7.7	SeaLevel__00130m.raw	47.45	52.55	1	0
135	172429	360001	7.44	SeaLevel__00135m.raw	47.90	52.10	1	0
140	173640	360001	7.47	SeaLevel__00140m.raw	48.23	51.77	1	0
145	175756	360001	7.44	SeaLevel__00145m.raw	48.82	51.18	1	0
150	177710	360001	7.7	SeaLevel__00150m.raw	49.36	50.64	1	0
155	185529	360001	7.51	SeaLevel__00155m.raw	51.54	48.46	1	0
160	189279	360001	7.51	SeaLevel__00160m.raw	52.58	47.42	1	0
165	192810	360001	7.52	SeaLevel__00165m.raw	53.56	46.44	1	0
170	194590	360001	7.75	SeaLevel__00170m.raw	54.05	45.95	1	0
175	197062	360001	7.51	SeaLevel__00175m.raw	54.74	45.26	1	0
180	198522	360001	7.49	SeaLevel__00180m.raw	55.14	44.86	1	0
185	200892	360001	7.52	SeaLevel__00185m.raw	55.80	44.20	1	0
190	202187	360001	7.74	SeaLevel__00190m.raw	56.16	43.84	1	0
195	203985	360001	7.54	SeaLevel__00195m.raw	56.66	43.34	1	0
200	205134	360001	7.49	SeaLevel__00200m.raw	56.98	43.02	1	0
