Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	341154	360001	7.65	SeaLevel__00250m.raw	94.76	5.24	1	0
500	355669	360001	7.69	SeaLevel__00500m.raw	98.80	1.20	1	0
750	359319	360001	8.15	SeaLevel__00750m.raw	99.81	0.19	1	0
1000	359887	360001	7.69	SeaLevel__01000m.raw	99.97	0.03	1	0
1250	359973	360001	7.74	SeaLevel__01250m.raw	99.99	0.01	1	0
1500	359988	360001	7.81	SeaLevel__01500m.raw	100.00	0.00	1	0
1750	359995	360001	8.29	SeaLevel__01750m.raw	100.00	0.00	1	0
2000	360000	360001	7.7	SeaLevel__02000m.raw	100.00	0.00	1	0
2250	360001	360001	7.61	SeaLevel__02250m.raw	100.00	0.00	1	0
2500	360001	360001	7.62	SeaLevel__02500m.raw	100.00	0.00	1	0
2750	360001	360001	8.04	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	360001	360001	7.67	SeaLevel__03000m.raw	100.00	0.00	1	0
