Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	88197	360001	7.56	SeaLevel__00250m.raw	24.50	75.50	1	0
500	94890	360001	7.69	SeaLevel__00500m.raw	26.36	73.64	1	0
750	99180	360001	7.95	SeaLevel__00750m.raw	27.55	72.45	1	0
1000	106157	360001	7.55	SeaLevel__01000m.raw	29.49	70.51	1	0
1250	126638	360001	7.7	SeaLevel__01250m.raw	35.18	64.82	1	0
1500	158187	360001	7.57	SeaLevel__01500m.raw	43.94	56.06	1	0
1750	205004	360001	7.98	SeaLevel__01750m.raw	56.95	43.05	1	0
2000	241409	360001	7.71	SeaLevel__02000m.raw	67.06	32.94	1	0
2250	275282	360001	8.02	SeaLevel__02250m.raw	76.47	23.53	1	0
2500	293591	360001	8.45	SeaLevel__02500m.raw	81.55	18.45	1	0
2750	320828	360001	8.79	SeaLevel__02750m.raw	89.12	10.88	1	0
3000	359954	360001	7.78	SeaLevel__03000m.raw	99.99	0.01	1	0
