Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	329308	360001	7.69	SeaLevel__00250m.raw	91.47	8.53	1	0
500	338157	360001	7.61	SeaLevel__00500m.raw	93.93	6.07	1	0
750	344416	360001	7.61	SeaLevel__00750m.raw	95.67	4.33	1	0
1000	351332	360001	7.96	SeaLevel__01000m.raw	97.59	2.41	1	0
1250	356040	360001	7.69	SeaLevel__01250m.raw	98.90	1.10	1	0
1500	358203	360001	7.62	SeaLevel__01500m.raw	99.50	0.50	1	0
1750	359489	360001	7.65	SeaLevel__01750m.raw	99.86	0.14	1	0
2000	359895	360001	8.11	SeaLevel__02000m.raw	99.97	0.03	1	0
2250	359984	360001	7.62	SeaLevel__02250m.raw	100.00	0.00	1	0
2500	359997	360001	7.62	SeaLevel__02500m.raw	100.00	0.00	1	0
2750	360000	360001	7.62	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	360001	360001	8.05	SeaLevel__03000m.raw	100.00	0.00	1	0
