Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	314430	360001	7.69	SeaLevel__00000m.raw	87.34	12.66	1	0
5	320179	360001	7.6	SeaLevel__00005m.raw	88.94	11.06	1	0
10	321625	360001	7.62	SeaLevel__00010m.raw	89.34	10.66	1	0
15	323887	360001	7.83	SeaLevel__00015m.raw	89.97	10.03	1	0
20	325609	360001	7.67	SeaLevel__00020m.raw	90.45	9.55	1	0
25	327315	360001	7.61	SeaLevel__00025m.raw	90.92	9.08	1	0
30	328239	360001	7.63	SeaLevel__00030m.raw	91.18	8.82	1	0
35	329440	360001	7.93	SeaLevel__00035m.raw	91.51	8.49	1	0
40	330147	360001	7.67	SeaLevel__00040m.raw	91.71	8.29	1	0
45	331028	360001	7.64	SeaLevel__00045m.raw	91.95	8.05	1	0
50	331543	360001	7.62	SeaLevel__00050m.raw	92.10	7.90	1	0
55	332356	360001	7.91	SeaLevel__00055m.raw	92.32	7.68	1	0
60	332966	360001	7.65	SeaLevel__00060m.raw	92.49	7.51	1	0
65	333932	360001	7.63	SeaLevel__00065m.raw	92.76	7.24	1	0
70	334603	360001	7.62	SeaLevel__00070m.raw	92.95	7.05	1	0
75	335592	360001	7.9	SeaLevel__00075m.raw	93.22	6.78	1	0
80	336259	360001	7.83	SeaLevel__00080m.raw	93.41	6.59	1	0
85	337146	360001	7.58	SeaLevel__00085m.raw	93.65	6.35	1	0
90	337787	360001	7.59	SeaLevel__00090m.raw	93.83	6.17	1	0
95	338682	360001	7.9	SeaLevel__00095m.raw	94.08	5.92	1	0
100	339314	360001	7.66	SeaLevel__00100m.raw	94.25	5.75	1	0
105	340186	360001	7.6	SeaLevel__00105m.raw	94.50	5.50	1	0
110	340756	360001	7.61	SeaLevel__00110m.raw	94.65	5.35	1	0
115	341606	360001	7.83	SeaLevel__00115m.raw	94.89	5.11	1	0
120	342135	360001	7.65	SeaLevel__00120m.raw	95.04	4.96	1	0
125	342913	360001	7.63	SeaLevel__00125m.raw	95.25	4.75	1	0
130	343407	360001	7.61	SeaLevel__00130m.raw	95.39	4.61	1	0
135	344115	360001	8.04	SeaLevel__00135m.raw	95.59	4.41	1	0
140	344528	360001	7.65	SeaLevel__00140m.raw	95.70	4.30	1	0
145	345084	360001	7.61	SeaLevel__00145m.raw	95.86	4.14	1	0
150	345407	360001	7.61	SeaLevel__00150m.raw	95.95	4.05	1	0
155	345954	360001	7.86	SeaLevel__00155m.raw	96.10	3.90	1	0
160	346305	360001	7.62	SeaLevel__00160m.raw	96.20	3.80	1	0
165	346830	360001	7.6	SeaLevel__00165m.raw	96.34	3.66	1	0
170	347138	360001	7.67	SeaLevel__00170m.raw	96.43	3.57	1	0
175	347589	360001	7.92	SeaLevel__00175m.raw	96.55	3.45	1	0
180	347867	360001	7.64	SeaLevel__00180m.raw	96.63	3.37	1	0
185	348277	360001	7.62	SeaLevel__00185m.raw	96.74	3.26	1	0
190	348561	360001	7.61	SeaLevel__00190m.raw	96.82	3.18	1	0
195	349011	360001	7.94	SeaLevel__00195m.raw	96.95	3.05	1	0
200	349302	360001	7.57	SeaLevel__00200m.raw	97.03	2.97	1	0
