Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	351510	360001	7.61	SeaLevel__00250m.raw	97.64	2.36	1	0
500	356412	360001	7.65	SeaLevel__00500m.raw	99.00	1.00	1	0
750	358738	360001	7.6	SeaLevel__00750m.raw	99.65	0.35	1	0
1000	359576	360001	7.95	SeaLevel__01000m.raw	99.88	0.12	1	0
1250	359854	360001	7.62	SeaLevel__01250m.raw	99.96	0.04	1	0
1500	359954	360001	7.62	SeaLevel__01500m.raw	99.99	0.01	1	0
1750	359990	360001	7.59	SeaLevel__01750m.raw	100.00	0.00	1	0
2000	360000	360001	7.94	SeaLevel__02000m.raw	100.00	0.00	1	0
2250	360001	360001	7.61	SeaLevel__02250m.raw	100.00	0.00	1	0
2500	360001	360001	7.63	SeaLevel__02500m.raw	100.00	0.00	1	0
2750	360001	360001	7.62	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	360001	360001	7.87	SeaLevel__03000m.raw	100.00	0.00	1	0
