Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	120659	360001	7.92	SeaLevel__00000m.raw	33.52	66.48	1	0
5	123759	360001	7.61	SeaLevel__00005m.raw	34.38	65.62	1	0
10	125271	360001	7.49	SeaLevel__00010m.raw	34.80	65.20	1	0
15	127152	360001	7.72	SeaLevel__00015m.raw	35.32	64.68	1	0
20	128190	360001	7.75	SeaLevel__00020m.raw	35.61	64.39	1	0
25	129412	360001	7.47	SeaLevel__00025m.raw	35.95	64.05	1	0
30	130151	360001	7.55	SeaLevel__00030m.raw	36.15	63.85	1	0
35	131300	360001	8	SeaLevel__00035m.raw	36.47	63.53	1	0
40	132003	360001	7.86	SeaLevel__00040m.raw	36.67	63.33	1	0
45	133016	360001	7.55	SeaLevel__00045m.raw	36.95	63.05	1	0
50	133702	360001	7.78	SeaLevel__00050m.raw	37.14	62.86	1	0
55	134819	360001	7.91	SeaLevel__00055m.raw	37.45	62.55	1	0
60	135640	360001	7.72	SeaLevel__00060m.raw	37.68	62.32	1	0
65	136801	360001	7.56	SeaLevel__00065m.raw	38.00	62.00	1	0
70	137604	360001	7.81	SeaLevel__00070m.raw	38.22	61.78	1	0
75	138815	360001	8.04	SeaLevel__00075m.raw	38.56	61.44	1	0
80	139634	360001	7.63	SeaLevel__00080m.raw	38.79	61.21	1	0
85	140950	360001	7.63	SeaLevel__00085m.raw	39.15	60.85	1	0
90	142007	360001	7.72	SeaLevel__00090m.raw	39.45	60.55	1	0
95	143741	360001	8.02	SeaLevel__00095m.raw	39.93	60.07	1	0
100	145089	360001	7.89	SeaLevel__00100m.raw	40.30	59.70	1	0
105	147271	360001	7.5	SeaLevel__00105m.raw	40.91	59.09	1	0
110	148859	360001	7.64	SeaLevel__00110m.raw	41.35	58.65	1	0
115	151251	360001	8	SeaLevel__00115m.raw	42.01	57.99	1	0
120	152752	360001	7.65	SeaLevel__00120m.raw	42.43	57.57	1	0
125	155047	360001	7.74	SeaLevel__00125m.raw	43.07	56.93	1	0
130	156563	360001	7.6	SeaLevel__00130m.raw	43.49	56.51	1	0
135	158665	360001	8.03	SeaLevel__00135m.raw	44.07	55.93	1	0
140	159955	360001	7.67	SeaLevel__00140m.raw	44.43	55.57	1	0
145	161854	360001	7.58	SeaLevel__00145m.raw	44.96	55.04	1	0
150	163083	360001	7.53	SeaLevel__00150m.raw	45.30	54.70	1	0
155	165810	360001	7.98	SeaLevel__00155m.raw	46.06	53.94	1	0
160	166971	360001	7.62	SeaLevel__00160m.raw	46.38	53.62	1	0
165	168482	360001	7.67	SeaLevel__00165m.raw	46.80	53.20	1	0
170	169382	360001	7.71	SeaLevel__00170m.raw	47.05	52.95	1	0
175	170799	360001	8.05	SeaLevel__00175m.raw	47.44	52.56	1	0
180	171734	360001	7.63	SeaLevel__00180m.raw	47.70	52.30	1	0
185	173123	360001	7.67	SeaLevel__00185m.raw	48.09	51.91	1	0
190	174040	360001	7.78	SeaLevel__00190m.raw	48.34	51.66	1	0
195	175258	360001	7.92	SeaLevel__00195m.raw	48.68	51.32	1	0
200	176110	360001	7.54	SeaLevel__00200m.raw	48.92	51.08	1	0
