Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	298489	360001	7.92	SeaLevel__00250m.raw	82.91	17.09	1	0
500	332110	360001	8.3	SeaLevel__00500m.raw	92.25	7.75	1	0
750	345537	360001	8.25	SeaLevel__00750m.raw	95.98	4.02	1	0
1000	352058	360001	7.79	SeaLevel__01000m.raw	97.79	2.21	1	0
1250	356364	360001	7.93	SeaLevel__01250m.raw	98.99	1.01	1	0
1500	358680	360001	8.24	SeaLevel__01500m.raw	99.63	0.37	1	0
1750	359814	360001	7.81	SeaLevel__01750m.raw	99.95	0.05	1	0
2000	360001	360001	7.65	SeaLevel__02000m.raw	100.00	0.00	1	0
2250	360001	360001	8.08	SeaLevel__02250m.raw	100.00	0.00	1	0
2500	360001	360001	8.01	SeaLevel__02500m.raw	100.00	0.00	1	0
2750	360001	360001	8.03	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	360001	360001	7.67	SeaLevel__03000m.raw	100.00	0.00	1	0
