Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	356030	360001	8.08	SeaLevel__00250m.raw	98.90	1.10	1	0
500	357732	360001	7.74	SeaLevel__00500m.raw	99.37	0.63	1	0
750	358531	360001	7.91	SeaLevel__00750m.raw	99.59	0.41	1	0
1000	358966	360001	8.06	SeaLevel__01000m.raw	99.71	0.29	1	0
1250	359296	360001	8.01	SeaLevel__01250m.raw	99.80	0.20	1	0
1500	359492	360001	7.69	SeaLevel__01500m.raw	99.86	0.14	1	0
1750	359649	360001	7.67	SeaLevel__01750m.raw	99.90	0.10	1	0
2000	359764	360001	7.77	SeaLevel__02000m.raw	99.93	0.07	1	0
2250	359842	360001	8.27	SeaLevel__02250m.raw	99.96	0.04	1	0
2500	359899	360001	8.03	SeaLevel__02500m.raw	99.97	0.03	1	0
2750	359952	360001	8.6	SeaLevel__02750m.raw	99.99	0.01	1	0
3000	359981	360001	8.28	SeaLevel__03000m.raw	99.99	0.01	1	0
