Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
1	359876	360001	7.87	SeaLevel__00001m.raw	99.97	0.03	1	0
2	359876	360001	7.71	SeaLevel__00002m.raw	99.97	0.03	1	0
3	359964	360001	8.03	SeaLevel__00003m.raw	99.99	0.01	1	0
4	359964	360001	7.75	SeaLevel__00004m.raw	99.99	0.01	1	0
6	359964	360001	7.75	SeaLevel__00006m.raw	99.99	0.01	1	0
7	359966	360001	7.79	SeaLevel__00007m.raw	99.99	0.01	1	0
8	359966	360001	8.1	SeaLevel__00008m.raw	99.99	0.01	1	0
9	359967	360001	7.73	SeaLevel__00009m.raw	99.99	0.01	1	0
