Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	359987	360001	8.28	SeaLevel__00250m.raw	100.00	0.00	1	0
500	359993	360001	8.78	SeaLevel__00500m.raw	100.00	0.00	1	0
750	359998	360001	7.7	SeaLevel__00750m.raw	100.00	0.00	1	0
1000	360000	360001	8.04	SeaLevel__01000m.raw	100.00	0.00	1	0
1250	360001	360001	8.14	SeaLevel__01250m.raw	100.00	0.00	1	0
1500	360001	360001	7.99	SeaLevel__01500m.raw	100.00	0.00	1	0
1750	360001	360001	8.18	SeaLevel__01750m.raw	100.00	0.00	1	0
2000	360001	360001	7.99	SeaLevel__02000m.raw	100.00	0.00	1	0
2250	360001	360001	7.85	SeaLevel__02250m.raw	100.00	0.00	1	0
2500	360001	360001	8.63	SeaLevel__02500m.raw	100.00	0.00	1	0
2750	360001	360001	9.28	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	360001	360001	8.82	SeaLevel__03000m.raw	100.00	0.00	1	0
