Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	21395	360001	7.49	SeaLevel__00250m.raw	5.94	94.06	1	0
500	215901	360001	7.56	SeaLevel__00500m.raw	59.97	40.03	1	0
750	314031	360001	7.62	SeaLevel__00750m.raw	87.23	12.77	1	0
1000	339651	360001	7.93	SeaLevel__01000m.raw	94.35	5.65	1	0
1250	351877	360001	7.61	SeaLevel__01250m.raw	97.74	2.26	1	0
1500	356264	360001	7.63	SeaLevel__01500m.raw	98.96	1.04	1	0
1750	358330	360001	7.7	SeaLevel__01750m.raw	99.54	0.46	1	0
2000	359259	360001	7.98	SeaLevel__02000m.raw	99.79	0.21	1	0
2250	359677	360001	7.62	SeaLevel__02250m.raw	99.91	0.09	1	0
2500	359900	360001	7.65	SeaLevel__02500m.raw	99.97	0.03	1	0
2750	359972	360001	7.63	SeaLevel__02750m.raw	99.99	0.01	1	0
3000	359996	360001	8.04	SeaLevel__03000m.raw	100.00	0.00	1	0
