Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
1	359636	360001	7.69	SeaLevel__00001m.raw	99.90	0.10	1	0
2	359636	360001	7.62	SeaLevel__00002m.raw	99.90	0.10	1	0
3	359663	360001	7.63	SeaLevel__00003m.raw	99.91	0.09	1	0
4	359663	360001	7.98	SeaLevel__00004m.raw	99.91	0.09	1	0
6	359670	360001	7.65	SeaLevel__00006m.raw	99.91	0.09	1	0
7	359680	360001	7.64	SeaLevel__00007m.raw	99.91	0.09	1	0
8	359680	360001	7.62	SeaLevel__00008m.raw	99.91	0.09	1	0
9	359685	360001	8.07	SeaLevel__00009m.raw	99.91	0.09	1	0
