Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
1	345	360001	7.65	SeaLevel__00001m.raw	0.10	99.90	1	0
2	345	360001	7.68	SeaLevel__00002m.raw	0.10	99.90	1	0
3	354	360001	7.65	SeaLevel__00003m.raw	0.10	99.90	1	0
4	354	360001	8.03	SeaLevel__00004m.raw	0.10	99.90	1	0
6	354	360001	7.76	SeaLevel__00006m.raw	0.10	99.90	1	0
7	356	360001	7.65	SeaLevel__00007m.raw	0.10	99.90	1	0
8	356	360001	7.65	SeaLevel__00008m.raw	0.10	99.90	1	0
9	356	360001	7.98	SeaLevel__00009m.raw	0.10	99.90	1	0
