Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	343940	360001	7.68	SeaLevel__00000m.raw	95.54	4.46	1	0
5	344289	360001	7.52	SeaLevel__00005m.raw	95.64	4.36	1	0
10	344535	360001	7.55	SeaLevel__00010m.raw	95.70	4.30	1	0
15	344825	360001	7.8	SeaLevel__00015m.raw	95.78	4.22	1	0
20	344993	360001	7.59	SeaLevel__00020m.raw	95.83	4.17	1	0
25	345242	360001	7.53	SeaLevel__00025m.raw	95.90	4.10	1	0
30	345382	360001	7.62	SeaLevel__00030m.raw	95.94	4.06	1	0
35	345588	360001	7.85	SeaLevel__00035m.raw	96.00	4.00	1	0
40	345712	360001	7.56	SeaLevel__00040m.raw	96.03	3.97	1	0
45	345895	360001	7.55	SeaLevel__00045m.raw	96.08	3.92	1	0
50	346003	360001	7.58	SeaLevel__00050m.raw	96.11	3.89	1	0
55	346173	360001	7.84	SeaLevel__00055m.raw	96.16	3.84	1	0
60	346279	360001	7.56	SeaLevel__00060m.raw	96.19	3.81	1	0
65	346433	360001	7.53	SeaLevel__00065m.raw	96.23	3.77	1	0
70	346522	360001	7.57	SeaLevel__00070m.raw	96.26	3.74	1	0
75	346659	360001	7.87	SeaLevel__00075m.raw	96.29	3.71	1	0
80	346736	360001	7.53	SeaLevel__00080m.raw	96.32	3.68	1	0
85	346866	360001	7.55	SeaLevel__00085m.raw	96.35	3.65	1	0
90	346943	360001	7.57	SeaLevel__00090m.raw	96.37	3.63	1	0
95	347080	360001	7.79	SeaLevel__00095m.raw	96.41	3.59	1	0
100	347166	360001	7.56	SeaLevel__00100m.raw	96.43	3.57	1	0
105	347280	360001	7.56	SeaLevel__00105m.raw	96.47	3.53	1	0
110	347358	360001	7.54	SeaLevel__00110m.raw	96.49	3.51	1	0
115	347464	360001	7.87	SeaLevel__00115m.raw	96.52	3.48	1	0
120	347548	360001	7.53	SeaLevel__00120m.raw	96.54	3.46	1	0
125	347674	360001	7.56	SeaLevel__00125m.raw	96.58	3.42	1	0
130	347746	360001	7.54	SeaLevel__00130m.raw	96.60	3.40	1	0
135	347865	360001	7.86	SeaLevel__00135m.raw	96.63	3.37	1	0
140	347944	360001	7.51	SeaLevel__00140m.raw	96.65	3.35	1	0
145	348045	360001	7.58	SeaLevel__00145m.raw	96.68	3.32	1	0
150	348109	360001	7.55	SeaLevel__00150m.raw	96.70	3.30	1	0
155	348233	360001	7.91	SeaLevel__00155m.raw	96.73	3.27	1	0
160	348310	360001	7.53	SeaLevel__00160m.raw	96.75	3.25	1	0
165	348417	360001	7.56	SeaLevel__00165m.raw	96.78	3.22	1	0
170	348495	360001	7.52	SeaLevel__00170m.raw	96.80	3.20	1	0
175	348610	360001	7.92	SeaLevel__00175m.raw	96.84	3.16	1	0
180	348686	360001	7.55	SeaLevel__00180m.raw	96.86	3.14	1	0
185	348804	360001	7.72	SeaLevel__00185m.raw	96.89	3.11	1	0
190	348881	360001	7.53	SeaLevel__00190m.raw	96.91	3.09	1	0
195	348976	360001	7.93	SeaLevel__00195m.raw	96.94	3.06	1	0
200	349055	360001	7.59	SeaLevel__00200m.raw	96.96	3.04	1	0
