Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	349523	360001	7.92	SeaLevel__00000m.raw	97.09	2.91	1	0
5	350483	360001	7.58	SeaLevel__00005m.raw	97.36	2.64	1	0
10	350677	360001	7.52	SeaLevel__00010m.raw	97.41	2.59	1	0
15	350900	360001	7.54	SeaLevel__00015m.raw	97.47	2.53	1	0
20	351039	360001	7.91	SeaLevel__00020m.raw	97.51	2.49	1	0
25	351215	360001	7.59	SeaLevel__00025m.raw	97.56	2.44	1	0
30	351343	360001	7.58	SeaLevel__00030m.raw	97.60	2.40	1	0
35	351524	360001	7.56	SeaLevel__00035m.raw	97.65	2.35	1	0
40	351634	360001	7.9	SeaLevel__00040m.raw	97.68	2.32	1	0
45	351810	360001	7.56	SeaLevel__00045m.raw	97.72	2.28	1	0
50	351932	360001	7.56	SeaLevel__00050m.raw	97.76	2.24	1	0
55	352089	360001	7.54	SeaLevel__00055m.raw	97.80	2.20	1	0
60	352199	360001	7.79	SeaLevel__00060m.raw	97.83	2.17	1	0
65	352367	360001	7.55	SeaLevel__00065m.raw	97.88	2.12	1	0
70	352477	360001	7.52	SeaLevel__00070m.raw	97.91	2.09	1	0
75	352629	360001	7.52	SeaLevel__00075m.raw	97.95	2.05	1	0
80	352725	360001	7.75	SeaLevel__00080m.raw	97.98	2.02	1	0
85	352882	360001	7.52	SeaLevel__00085m.raw	98.02	1.98	1	0
90	352986	360001	7.55	SeaLevel__00090m.raw	98.05	1.95	1	0
95	353119	360001	7.56	SeaLevel__00095m.raw	98.09	1.91	1	0
100	353233	360001	7.69	SeaLevel__00100m.raw	98.12	1.88	1	0
105	353378	360001	7.55	SeaLevel__00105m.raw	98.16	1.84	1	0
110	353469	360001	7.54	SeaLevel__00110m.raw	98.19	1.81	1	0
115	353608	360001	7.55	SeaLevel__00115m.raw	98.22	1.78	1	0
120	353687	360001	7.97	SeaLevel__00120m.raw	98.25	1.75	1	0
125	353842	360001	7.57	SeaLevel__00125m.raw	98.29	1.71	1	0
130	353944	360001	7.54	SeaLevel__00130m.raw	98.32	1.68	1	0
135	354096	360001	7.53	SeaLevel__00135m.raw	98.36	1.64	1	0
140	354183	360001	7.83	SeaLevel__00140m.raw	98.38	1.62	1	0
145	354345	360001	7.59	SeaLevel__00145m.raw	98.43	1.57	1	0
150	354462	360001	7.58	SeaLevel__00150m.raw	98.46	1.54	1	0
155	354736	360001	7.63	SeaLevel__00155m.raw	98.54	1.46	1	0
160	354850	360001	7.89	SeaLevel__00160m.raw	98.57	1.43	1	0
165	354981	360001	7.55	SeaLevel__00165m.raw	98.61	1.39	1	0
170	355052	360001	7.57	SeaLevel__00170m.raw	98.63	1.37	1	0
175	355146	360001	7.59	SeaLevel__00175m.raw	98.65	1.35	1	0
180	355213	360001	7.86	SeaLevel__00180m.raw	98.67	1.33	1	0
185	355293	360001	7.56	SeaLevel__00185m.raw	98.69	1.31	1	0
190	355334	360001	7.52	SeaLevel__00190m.raw	98.70	1.30	1	0
195	355423	360001	7.6	SeaLevel__00195m.raw	98.73	1.27	1	0
200	355479	360001	7.86	SeaLevel__00200m.raw	98.74	1.26	1	0
