Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	172361	360001	7.95	SeaLevel__00000m.raw	47.88	52.12	1	0
5	175759	360001	7.54	SeaLevel__00005m.raw	48.82	51.18	1	0
10	178258	360001	7.52	SeaLevel__00010m.raw	49.52	50.48	1	0
15	181188	360001	7.88	SeaLevel__00015m.raw	50.33	49.67	1	0
20	182635	360001	7.72	SeaLevel__00020m.raw	50.73	49.27	1	0
25	184555	360001	7.51	SeaLevel__00025m.raw	51.27	48.73	1	0
30	185775	360001	7.5	SeaLevel__00030m.raw	51.60	48.40	1	0
35	187430	360001	7.8	SeaLevel__00035m.raw	52.06	47.94	1	0
40	188394	360001	7.5	SeaLevel__00040m.raw	52.33	47.67	1	0
45	190099	360001	7.52	SeaLevel__00045m.raw	52.81	47.19	1	0
50	191232	360001	7.51	SeaLevel__00050m.raw	53.12	46.88	1	0
55	192999	360001	7.74	SeaLevel__00055m.raw	53.61	46.39	1	0
60	194269	360001	7.5	SeaLevel__00060m.raw	53.96	46.04	1	0
65	196246	360001	7.51	SeaLevel__00065m.raw	54.51	45.49	1	0
70	197558	360001	7.51	SeaLevel__00070m.raw	54.88	45.12	1	0
75	199231	360001	7.75	SeaLevel__00075m.raw	55.34	44.66	1	0
80	200338	360001	7.51	SeaLevel__00080m.raw	55.65	44.35	1	0
85	201703	360001	7.53	SeaLevel__00085m.raw	56.03	43.97	1	0
90	202614	360001	7.52	SeaLevel__00090m.raw	56.28	43.72	1	0
95	204010	360001	7.74	SeaLevel__00095m.raw	56.67	43.33	1	0
100	205001	360001	7.52	SeaLevel__00100m.raw	56.94	43.06	1	0
105	206705	360001	7.54	SeaLevel__00105m.raw	57.42	42.58	1	0
110	207781	360001	7.51	SeaLevel__00110m.raw	57.72	42.28	1	0
115	209503	360001	7.74	SeaLevel__00115m.raw	58.20	41.80	1	0
120	210605	360001	7.56	SeaLevel__00120m.raw	58.50	41.50	1	0
125	212097	360001	7.57	SeaLevel__00125m.raw	58.92	41.08	1	0
130	213183	360001	7.54	SeaLevel__00130m.raw	59.22	40.78	1	0
135	214966	360001	7.78	SeaLevel__00135m.raw	59.71	40.29	1	0
140	216208	360001	7.56	SeaLevel__00140m.raw	60.06	39.94	1	0
145	217891	360001	7.56	SeaLevel__00145m.raw	60.53	39.47	1	0
150	219091	360001	7.57	SeaLevel__00150m.raw	60.86	39.14	1	0
155	221086	360001	7.82	SeaLevel__00155m.raw	61.41	38.59	1	0
160	222311	360001	7.53	SeaLevel__00160m.raw	61.75	38.25	1	0
165	223899	360001	7.53	SeaLevel__00165m.raw	62.19	37.81	1	0
170	225049	360001	7.6	SeaLevel__00170m.raw	62.51	37.49	1	0
175	227082	360001	7.84	SeaLevel__00175m.raw	63.08	36.92	1	0
180	228566	360001	7.55	SeaLevel__00180m.raw	63.49	36.51	1	0
185	230357	360001	7.57	SeaLevel__00185m.raw	63.99	36.01	1	0
190	231669	360001	7.58	SeaLevel__00190m.raw	64.35	35.65	1	0
195	233444	360001	7.86	SeaLevel__00195m.raw	64.85	35.15	1	0
200	234790	360001	7.55	SeaLevel__00200m.raw	65.22	34.78	1	0
