Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	199911	360001	7.54	SeaLevel__00250m.raw	55.53	44.47	1	0
500	229262	360001	7.58	SeaLevel__00500m.raw	63.68	36.32	1	0
750	247009	360001	7.56	SeaLevel__00750m.raw	68.61	31.39	1	0
1000	265206	360001	7.91	SeaLevel__01000m.raw	73.67	26.33	1	0
1250	281333	360001	7.54	SeaLevel__01250m.raw	78.15	21.85	1	0
1500	297884	360001	7.61	SeaLevel__01500m.raw	82.75	17.25	1	0
1750	315216	360001	7.62	SeaLevel__01750m.raw	87.56	12.44	1	0
2000	331306	360001	7.92	SeaLevel__02000m.raw	92.03	7.97	1	0
2250	343596	360001	7.6	SeaLevel__02250m.raw	95.44	4.56	1	0
2500	351567	360001	7.6	SeaLevel__02500m.raw	97.66	2.34	1	0
2750	355900	360001	7.62	SeaLevel__02750m.raw	98.86	1.14	1	0
3000	358115	360001	7.98	SeaLevel__03000m.raw	99.48	0.52	1	0
