Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	126865	360001	7.49	SeaLevel__00000m.raw	35.24	64.76	1	0
5	136851	360001	7.46	SeaLevel__00005m.raw	38.01	61.99	1	0
10	140203	360001	7.76	SeaLevel__00010m.raw	38.95	61.05	1	0
15	144492	360001	7.46	SeaLevel__00015m.raw	40.14	59.86	1	0
20	147165	360001	7.49	SeaLevel__00020m.raw	40.88	59.12	1	0
25	151290	360001	7.48	SeaLevel__00025m.raw	42.02	57.98	1	0
30	154005	360001	7.74	SeaLevel__00030m.raw	42.78	57.22	1	0
35	157577	360001	7.48	SeaLevel__00035m.raw	43.77	56.23	1	0
40	159854	360001	7.48	SeaLevel__00040m.raw	44.40	55.60	1	0
45	163077	360001	7.45	SeaLevel__00045m.raw	45.30	54.70	1	0
50	165439	360001	7.75	SeaLevel__00050m.raw	45.96	54.04	1	0
55	169082	360001	7.45	SeaLevel__00055m.raw	46.97	53.03	1	0
60	171365	360001	7.49	SeaLevel__00060m.raw	47.60	52.40	1	0
65	174749	360001	7.48	SeaLevel__00065m.raw	48.54	51.46	1	0
70	176810	360001	7.7	SeaLevel__00070m.raw	49.11	50.89	1	0
75	179797	360001	7.47	SeaLevel__00075m.raw	49.94	50.06	1	0
80	182010	360001	7.48	SeaLevel__00080m.raw	50.56	49.44	1	0
85	185424	360001	7.48	SeaLevel__00085m.raw	51.51	48.49	1	0
90	187590	360001	7.78	SeaLevel__00090m.raw	52.11	47.89	1	0
95	190811	360001	7.47	SeaLevel__00095m.raw	53.00	47.00	1	0
100	192830	360001	7.53	SeaLevel__00100m.raw	53.56	46.44	1	0
105	195764	360001	7.5	SeaLevel__00105m.raw	54.38	45.62	1	0
110	197766	360001	7.83	SeaLevel__00110m.raw	54.93	45.07	1	0
115	200956	360001	7.46	SeaLevel__00115m.raw	55.82	44.18	1	0
120	203230	360001	7.49	SeaLevel__00120m.raw	56.45	43.55	1	0
125	206721	360001	7.49	SeaLevel__00125m.raw	57.42	42.58	1	0
130	209140	360001	7.73	SeaLevel__00130m.raw	58.09	41.91	1	0
135	212809	360001	7.53	SeaLevel__00135m.raw	59.11	40.89	1	0
140	215300	360001	7.47	SeaLevel__00140m.raw	59.81	40.19	1	0
145	219447	360001	7.5	SeaLevel__00145m.raw	60.96	39.04	1	0
150	222567	360001	7.83	SeaLevel__00150m.raw	61.82	38.18	1	0
155	236024	360001	7.53	SeaLevel__00155m.raw	65.56	34.44	1	0
160	240858	360001	7.51	SeaLevel__00160m.raw	66.90	33.10	1	0
165	245096	360001	7.47	SeaLevel__00165m.raw	68.08	31.92	1	0
170	247492	360001	7.86	SeaLevel__00170m.raw	68.75	31.25	1	0
175	250421	360001	7.52	SeaLevel__00175m.raw	69.56	30.44	1	0
180	252430	360001	7.51	SeaLevel__00180m.raw	70.12	29.88	1	0
185	255760	360001	7.53	SeaLevel__00185m.raw	71.04	28.96	1	0
190	258166	360001	7.87	SeaLevel__00190m.raw	71.71	28.29	1	0
195	260946	360001	7.55	SeaLevel__00195m.raw	72.48	27.52	1	0
200	262723	360001	7.53	SeaLevel__00200m.raw	72.98	27.02	1	0
