Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
1	41909	360001	7.59	SeaLevel__00001m.raw	11.64	88.36	1	0
2	41909	360001	7.52	SeaLevel__00002m.raw	11.64	88.36	1	0
3	45899	360001	7.62	SeaLevel__00003m.raw	12.75	87.25	1	0
4	45899	360001	7.91	SeaLevel__00004m.raw	12.75	87.25	1	0
6	46733	360001	7.57	SeaLevel__00006m.raw	12.98	87.02	1	0
7	47612	360001	7.49	SeaLevel__00007m.raw	13.23	86.77	1	0
8	47612	360001	7.62	SeaLevel__00008m.raw	13.23	86.77	1	0
9	48454	360001	7.83	SeaLevel__00009m.raw	13.46	86.54	1	0
