Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	178120	360001	7.66	SeaLevel__00000m.raw	49.48	50.52	1	0
5	182064	360001	7.85	SeaLevel__00005m.raw	50.57	49.43	1	0
10	185303	360001	7.53	SeaLevel__00010m.raw	51.47	48.53	1	0
15	188527	360001	7.5	SeaLevel__00015m.raw	52.37	47.63	1	0
20	189893	360001	7.49	SeaLevel__00020m.raw	52.75	47.25	1	0
25	191498	360001	7.81	SeaLevel__00025m.raw	53.19	46.81	1	0
30	192563	360001	7.5	SeaLevel__00030m.raw	53.49	46.51	1	0
35	194204	360001	7.49	SeaLevel__00035m.raw	53.95	46.05	1	0
40	195262	360001	7.51	SeaLevel__00040m.raw	54.24	45.76	1	0
45	196953	360001	7.76	SeaLevel__00045m.raw	54.71	45.29	1	0
50	198210	360001	7.55	SeaLevel__00050m.raw	55.06	44.94	1	0
55	200616	360001	7.57	SeaLevel__00055m.raw	55.73	44.27	1	0
60	202516	360001	7.52	SeaLevel__00060m.raw	56.25	43.75	1	0
65	205511	360001	7.81	SeaLevel__00065m.raw	57.09	42.91	1	0
70	206990	360001	7.58	SeaLevel__00070m.raw	57.50	42.50	1	0
75	209026	360001	7.5	SeaLevel__00075m.raw	58.06	41.94	1	0
80	210208	360001	7.52	SeaLevel__00080m.raw	58.39	41.61	1	0
85	211904	360001	7.8	SeaLevel__00085m.raw	58.86	41.14	1	0
90	213022	360001	7.55	SeaLevel__00090m.raw	59.17	40.83	1	0
95	214572	360001	7.51	SeaLevel__00095m.raw	59.60	40.40	1	0
100	215577	360001	7.51	SeaLevel__00100m.raw	59.88	40.12	1	0
105	217025	360001	7.81	SeaLevel__00105m.raw	60.28	39.72	1	0
110	218029	360001	7.52	SeaLevel__00110m.raw	60.56	39.44	1	0
115	219609	360001	7.54	SeaLevel__00115m.raw	61.00	39.00	1	0
120	220719	360001	7.5	SeaLevel__00120m.raw	61.31	38.69	1	0
125	222527	360001	7.76	SeaLevel__00125m.raw	61.81	38.19	1	0
130	224077	360001	7.49	SeaLevel__00130m.raw	62.24	37.76	1	0
135	227050	360001	7.5	SeaLevel__00135m.raw	63.07	36.93	1	0
140	229139	360001	7.53	SeaLevel__00140m.raw	63.65	36.35	1	0
145	232055	360001	7.79	SeaLevel__00145m.raw	64.46	35.54	1	0
150	233856	360001	7.53	SeaLevel__00150m.raw	64.96	35.04	1	0
155	236412	360001	7.5	SeaLevel__00155m.raw	65.67	34.33	1	0
160	237962	360001	7.54	SeaLevel__00160m.raw	66.10	33.90	1	0
165	240319	360001	7.82	SeaLevel__00165m.raw	66.76	33.24	1	0
170	241886	360001	7.5	SeaLevel__00170m.raw	67.19	32.81	1	0
175	244098	360001	7.51	SeaLevel__00175m.raw	67.80	32.20	1	0
180	245503	360001	7.52	SeaLevel__00180m.raw	68.20	31.80	1	0
185	247450	360001	7.77	SeaLevel__00185m.raw	68.74	31.26	1	0
190	248779	360001	7.51	SeaLevel__00190m.raw	69.11	30.89	1	0
195	250770	360001	7.52	SeaLevel__00195m.raw	69.66	30.34	1	0
200	252074	360001	7.52	SeaLevel__00200m.raw	70.02	29.98	1	0
