Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	353756	360001	7.94	SeaLevel__00250m.raw	98.27	1.73	1	0
500	357058	360001	8.01	SeaLevel__00500m.raw	99.18	0.82	1	0
750	359062	360001	7.85	SeaLevel__00750m.raw	99.74	0.26	1	0
1000	359834	360001	8.27	SeaLevel__01000m.raw	99.95	0.05	1	0
1250	359997	360001	7.83	SeaLevel__01250m.raw	100.00	0.00	1	0
1500	360001	360001	7.87	SeaLevel__01500m.raw	100.00	0.00	1	0
1750	360001	360001	8.08	SeaLevel__01750m.raw	100.00	0.00	1	0
2000	360001	360001	8.34	SeaLevel__02000m.raw	100.00	0.00	1	0
2250	360001	360001	8.54	SeaLevel__02250m.raw	100.00	0.00	1	0
2500	360001	360001	7.73	SeaLevel__02500m.raw	100.00	0.00	1	0
2750	360001	360001	7.68	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	360001	360001	8.39	SeaLevel__03000m.raw	100.00	0.00	1	0
