Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	285849	360001	7.56	SeaLevel__00000m.raw	79.40	20.60	1	0
5	286294	360001	7.7	SeaLevel__00005m.raw	79.53	20.47	1	0
10	286467	360001	7.91	SeaLevel__00010m.raw	79.57	20.43	1	0
15	286810	360001	7.81	SeaLevel__00015m.raw	79.67	20.33	1	0
20	287140	360001	7.7	SeaLevel__00020m.raw	79.76	20.24	1	0
25	287869	360001	7.8	SeaLevel__00025m.raw	79.96	20.04	1	0
30	288308	360001	8.1	SeaLevel__00030m.raw	80.09	19.91	1	0
35	288903	360001	7.65	SeaLevel__00035m.raw	80.25	19.75	1	0
40	289306	360001	7.71	SeaLevel__00040m.raw	80.36	19.64	1	0
45	289809	360001	7.6	SeaLevel__00045m.raw	80.50	19.50	1	0
50	290150	360001	7.77	SeaLevel__00050m.raw	80.60	19.40	1	0
55	290642	360001	8.09	SeaLevel__00055m.raw	80.73	19.27	1	0
60	290976	360001	7.94	SeaLevel__00060m.raw	80.83	19.17	1	0
65	291452	360001	7.82	SeaLevel__00065m.raw	80.96	19.04	1	0
70	291797	360001	8.15	SeaLevel__00070m.raw	81.05	18.95	1	0
75	292296	360001	8.08	SeaLevel__00075m.raw	81.19	18.81	1	0
80	292662	360001	8.1	SeaLevel__00080m.raw	81.29	18.71	1	0
85	293284	360001	7.68	SeaLevel__00085m.raw	81.47	18.53	1	0
90	293666	360001	7.62	SeaLevel__00090m.raw	81.57	18.43	1	0
95	294241	360001	8.43	SeaLevel__00095m.raw	81.73	18.27	1	0
100	294586	360001	7.67	SeaLevel__00100m.raw	81.83	18.17	1	0
105	295149	360001	7.7	SeaLevel__00105m.raw	81.99	18.01	1	0
110	295500	360001	7.68	SeaLevel__00110m.raw	82.08	17.92	1	0
115	296083	360001	8.04	SeaLevel__00115m.raw	82.25	17.75	1	0
120	296409	360001	7.6	SeaLevel__00120m.raw	82.34	17.66	1	0
125	296956	360001	7.63	SeaLevel__00125m.raw	82.49	17.51	1	0
130	297335	360001	7.72	SeaLevel__00130m.raw	82.59	17.41	1	0
135	298123	360001	8.04	SeaLevel__00135m.raw	82.81	17.19	1	0
140	298755	360001	7.8	SeaLevel__00140m.raw	82.99	17.01	1	0
145	299729	360001	7.69	SeaLevel__00145m.raw	83.26	16.74	1	0
150	300449	360001	7.64	SeaLevel__00150m.raw	83.46	16.54	1	0
155	301949	360001	8.03	SeaLevel__00155m.raw	83.87	16.13	1	0
160	302410	360001	7.62	SeaLevel__00160m.raw	84.00	16.00	1	0
165	303002	360001	7.59	SeaLevel__00165m.raw	84.17	15.83	1	0
170	303386	360001	7.67	SeaLevel__00170m.raw	84.27	15.73	1	0
175	303988	360001	8.07	SeaLevel__00175m.raw	84.44	15.56	1	0
180	304353	360001	7.72	SeaLevel__00180m.raw	84.54	15.46	1	0
185	304949	360001	7.84	SeaLevel__00185m.raw	84.71	15.29	1	0
190	305377	360001	7.7	SeaLevel__00190m.raw	84.83	15.17	1	0
195	305956	360001	7.9	SeaLevel__00195m.raw	84.99	15.01	1	0
200	306329	360001	7.53	SeaLevel__00200m.raw	85.09	14.91	1	0
