Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	1276	360001	7.46	SeaLevel__00250m.raw	0.35	99.65	1	0
500	16361	360001	7.53	SeaLevel__00500m.raw	4.54	95.46	1	0
750	32662	360001	7.48	SeaLevel__00750m.raw	9.07	90.93	1	0
1000	65338	360001	7.82	SeaLevel__01000m.raw	18.15	81.85	1	0
1250	102671	360001	7.61	SeaLevel__01250m.raw	28.52	71.48	1	0
1500	129169	360001	7.62	SeaLevel__01500m.raw	35.88	64.12	1	0
1750	148212	360001	7.54	SeaLevel__01750m.raw	41.17	58.83	1	0
2000	164652	360001	7.95	SeaLevel__02000m.raw	45.74	54.26	1	0
2250	177326	360001	7.55	SeaLevel__02250m.raw	49.26	50.74	1	0
2500	187561	360001	7.56	SeaLevel__02500m.raw	52.10	47.90	1	0
2750	200063	360001	7.55	SeaLevel__02750m.raw	55.57	44.43	1	0
3000	210378	360001	7.91	SeaLevel__03000m.raw	58.44	41.56	1	0
