Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	298189	360001	7.82	SeaLevel__00000m.raw	82.83	17.17	1	0
5	298379	360001	7.51	SeaLevel__00005m.raw	82.88	17.12	1	0
10	298447	360001	7.52	SeaLevel__00010m.raw	82.90	17.10	1	0
15	298528	360001	7.56	SeaLevel__00015m.raw	82.92	17.08	1	0
20	298567	360001	7.82	SeaLevel__00020m.raw	82.94	17.06	1	0
25	298633	360001	7.53	SeaLevel__00025m.raw	82.95	17.05	1	0
30	298662	360001	7.52	SeaLevel__00030m.raw	82.96	17.04	1	0
35	298703	360001	7.57	SeaLevel__00035m.raw	82.97	17.03	1	0
40	298719	360001	7.88	SeaLevel__00040m.raw	82.98	17.02	1	0
45	298757	360001	7.54	SeaLevel__00045m.raw	82.99	17.01	1	0
50	298783	360001	7.53	SeaLevel__00050m.raw	83.00	17.00	1	0
55	298809	360001	7.55	SeaLevel__00055m.raw	83.00	17.00	1	0
60	298833	360001	7.82	SeaLevel__00060m.raw	83.01	16.99	1	0
65	298856	360001	7.54	SeaLevel__00065m.raw	83.02	16.98	1	0
70	298880	360001	7.54	SeaLevel__00070m.raw	83.02	16.98	1	0
75	298918	360001	7.55	SeaLevel__00075m.raw	83.03	16.97	1	0
80	298937	360001	7.81	SeaLevel__00080m.raw	83.04	16.96	1	0
85	298986	360001	7.53	SeaLevel__00085m.raw	83.05	16.95	1	0
90	299010	360001	7.56	SeaLevel__00090m.raw	83.06	16.94	1	0
95	299035	360001	7.69	SeaLevel__00095m.raw	83.07	16.93	1	0
100	299060	360001	7.86	SeaLevel__00100m.raw	83.07	16.93	1	0
105	299084	360001	7.54	SeaLevel__00105m.raw	83.08	16.92	1	0
110	299102	360001	7.69	SeaLevel__00110m.raw	83.08	16.92	1	0
115	299126	360001	7.55	SeaLevel__00115m.raw	83.09	16.91	1	0
120	299149	360001	7.89	SeaLevel__00120m.raw	83.10	16.90	1	0
125	299171	360001	7.57	SeaLevel__00125m.raw	83.10	16.90	1	0
130	299183	360001	7.57	SeaLevel__00130m.raw	83.11	16.89	1	0
135	299224	360001	7.54	SeaLevel__00135m.raw	83.12	16.88	1	0
140	299242	360001	7.84	SeaLevel__00140m.raw	83.12	16.88	1	0
145	299268	360001	7.54	SeaLevel__00145m.raw	83.13	16.87	1	0
150	299292	360001	7.58	SeaLevel__00150m.raw	83.14	16.86	1	0
155	299325	360001	7.54	SeaLevel__00155m.raw	83.15	16.85	1	0
160	299341	360001	7.88	SeaLevel__00160m.raw	83.15	16.85	1	0
165	299371	360001	7.55	SeaLevel__00165m.raw	83.16	16.84	1	0
170	299395	360001	7.59	SeaLevel__00170m.raw	83.17	16.83	1	0
175	299421	360001	7.57	SeaLevel__00175m.raw	83.17	16.83	1	0
180	299444	360001	7.92	SeaLevel__00180m.raw	83.18	16.82	1	0
185	299465	360001	7.58	SeaLevel__00185m.raw	83.18	16.82	1	0
190	299489	360001	7.58	SeaLevel__00190m.raw	83.19	16.81	1	0
195	299523	360001	7.58	SeaLevel__00195m.raw	83.20	16.80	1	0
200	299542	360001	7.9	SeaLevel__00200m.raw	83.21	16.79	1	0
