Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	335517	360001	8.03	SeaLevel__00250m.raw	93.20	6.80	1	0
500	343960	360001	7.85	SeaLevel__00500m.raw	95.54	4.46	1	0
750	348444	360001	8.17	SeaLevel__00750m.raw	96.79	3.21	1	0
1000	351703	360001	7.85	SeaLevel__01000m.raw	97.70	2.30	1	0
1250	354296	360001	7.98	SeaLevel__01250m.raw	98.42	1.58	1	0
1500	356365	360001	7.8	SeaLevel__01500m.raw	98.99	1.01	1	0
1750	358216	360001	8.33	SeaLevel__01750m.raw	99.50	0.50	1	0
2000	359504	360001	8	SeaLevel__02000m.raw	99.86	0.14	1	0
2250	359866	360001	8.04	SeaLevel__02250m.raw	99.96	0.04	1	0
2500	359957	360001	8.35	SeaLevel__02500m.raw	99.99	0.01	1	0
2750	359984	360001	8.5	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	359994	360001	8.42	SeaLevel__03000m.raw	100.00	0.00	1	0
