Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	322594	360001	8.17	SeaLevel__00250m.raw	89.61	10.39	1	0
500	344241	360001	7.6	SeaLevel__00500m.raw	95.62	4.38	1	0
750	353418	360001	7.57	SeaLevel__00750m.raw	98.17	1.83	1	0
1000	358034	360001	7.58	SeaLevel__01000m.raw	99.45	0.55	1	0
1250	359639	360001	7.89	SeaLevel__01250m.raw	99.90	0.10	1	0
1500	359946	360001	7.61	SeaLevel__01500m.raw	99.98	0.02	1	0
1750	359994	360001	7.6	SeaLevel__01750m.raw	100.00	0.00	1	0
2000	360001	360001	7.61	SeaLevel__02000m.raw	100.00	0.00	1	0
2250	360001	360001	7.92	SeaLevel__02250m.raw	100.00	0.00	1	0
2500	360001	360001	7.62	SeaLevel__02500m.raw	100.00	0.00	1	0
2750	360001	360001	7.63	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	360001	360001	7.6	SeaLevel__03000m.raw	100.00	0.00	1	0
