Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	1	360001	7.49	SeaLevel__00250m.raw	0.00	100.00	1	0
500	1	360001	7.47	SeaLevel__00500m.raw	0.00	100.00	1	0
750	1	360001	7.48	SeaLevel__00750m.raw	0.00	100.00	1	0
1000	7	360001	7.82	SeaLevel__01000m.raw	0.00	100.00	1	0
1250	332	360001	7.44	SeaLevel__01250m.raw	0.09	99.91	1	0
1500	838	360001	7.45	SeaLevel__01500m.raw	0.23	99.77	1	0
1750	1524	360001	7.47	SeaLevel__01750m.raw	0.42	99.58	1	0
2000	3371	360001	7.84	SeaLevel__02000m.raw	0.94	99.06	1	0
2250	6027	360001	7.46	SeaLevel__02250m.raw	1.67	98.33	1	0
2500	17042	360001	7.58	SeaLevel__02500m.raw	4.73	95.27	1	0
2750	37226	360001	7.48	SeaLevel__02750m.raw	10.34	89.66	1	0
3000	96954	360001	7.87	SeaLevel__03000m.raw	26.93	73.07	1	0
