Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	143965	360001	7.63	SeaLevel__00000m.raw	39.99	60.01	1	0
5	154885	360001	7.58	SeaLevel__00005m.raw	43.02	56.98	1	0
10	157500	360001	7.73	SeaLevel__00010m.raw	43.75	56.25	1	0
15	160651	360001	7.46	SeaLevel__00015m.raw	44.63	55.37	1	0
20	162761	360001	7.43	SeaLevel__00020m.raw	45.21	54.79	1	0
25	166178	360001	7.5	SeaLevel__00025m.raw	46.16	53.84	1	0
30	168124	360001	7.72	SeaLevel__00030m.raw	46.70	53.30	1	0
35	171097	360001	7.45	SeaLevel__00035m.raw	47.53	52.47	1	0
40	172908	360001	7.45	SeaLevel__00040m.raw	48.03	51.97	1	0
45	175634	360001	7.53	SeaLevel__00045m.raw	48.79	51.21	1	0
50	177566	360001	7.8	SeaLevel__00050m.raw	49.32	50.68	1	0
55	180382	360001	7.43	SeaLevel__00055m.raw	50.11	49.89	1	0
60	182165	360001	7.49	SeaLevel__00060m.raw	50.60	49.40	1	0
65	184911	360001	7.51	SeaLevel__00065m.raw	51.36	48.64	1	0
70	186848	360001	7.78	SeaLevel__00070m.raw	51.90	48.10	1	0
75	190149	360001	7.47	SeaLevel__00075m.raw	52.82	47.18	1	0
80	193061	360001	7.47	SeaLevel__00080m.raw	53.63	46.37	1	0
85	197052	360001	7.67	SeaLevel__00085m.raw	54.74	45.26	1	0
90	200038	360001	7.75	SeaLevel__00090m.raw	55.57	44.43	1	0
95	205507	360001	7.46	SeaLevel__00095m.raw	57.09	42.91	1	0
100	211221	360001	7.47	SeaLevel__00100m.raw	58.67	41.33	1	0
105	226706	360001	7.53	SeaLevel__00105m.raw	62.97	37.03	1	0
110	228665	360001	7.78	SeaLevel__00110m.raw	63.52	36.48	1	0
115	230784	360001	7.49	SeaLevel__00115m.raw	64.11	35.89	1	0
120	231967	360001	7.52	SeaLevel__00120m.raw	64.44	35.56	1	0
125	233579	360001	7.51	SeaLevel__00125m.raw	64.88	35.12	1	0
130	234588	360001	7.8	SeaLevel__00130m.raw	65.16	34.84	1	0
135	236077	360001	7.51	SeaLevel__00135m.raw	65.58	34.42	1	0
140	237129	360001	7.54	SeaLevel__00140m.raw	65.87	34.13	1	0
145	238829	360001	7.49	SeaLevel__00145m.raw	66.34	33.66	1	0
150	240010	360001	7.81	SeaLevel__00150m.raw	66.67	33.33	1	0
155	242590	360001	7.49	SeaLevel__00155m.raw	67.39	32.61	1	0
160	243931	360001	7.54	SeaLevel__00160m.raw	67.76	32.24	1	0
165	245735	360001	7.5	SeaLevel__00165m.raw	68.26	31.74	1	0
170	247018	360001	7.83	SeaLevel__00170m.raw	68.62	31.38	1	0
175	248903	360001	7.52	SeaLevel__00175m.raw	69.14	30.86	1	0
180	250359	360001	7.58	SeaLevel__00180m.raw	69.54	30.46	1	0
185	252925	360001	7.53	SeaLevel__00185m.raw	70.26	29.74	1	0
190	254834	360001	7.87	SeaLevel__00190m.raw	70.79	29.21	1	0
195	258880	360001	7.52	SeaLevel__00195m.raw	71.91	28.09	1	0
200	262886	360001	7.57	SeaLevel__00200m.raw	73.02	26.98	1	0
