Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
1	359988	360001	8.67	SeaLevel__00001m.raw	100.00	0.00	1	0
2	359988	360001	8.3	SeaLevel__00002m.raw	100.00	0.00	1	0
3	359989	360001	8.88	SeaLevel__00003m.raw	100.00	0.00	1	0
4	359989	360001	9.16	SeaLevel__00004m.raw	100.00	0.00	1	0
6	359989	360001	9.53	SeaLevel__00006m.raw	100.00	0.00	1	0
7	359990	360001	8.97	SeaLevel__00007m.raw	100.00	0.00	1	0
8	359990	360001	8.77	SeaLevel__00008m.raw	100.00	0.00	1	0
9	359991	360001	8.67	SeaLevel__00009m.raw	100.00	0.00	1	0
