Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	337186	360001	7.59	SeaLevel__00250m.raw	93.66	6.34	1	0
500	339050	360001	7.56	SeaLevel__00500m.raw	94.18	5.82	1	0
750	341929	360001	7.58	SeaLevel__00750m.raw	94.98	5.02	1	0
1000	344572	360001	7.97	SeaLevel__01000m.raw	95.71	4.29	1	0
1250	348535	360001	7.61	SeaLevel__01250m.raw	96.82	3.18	1	0
1500	351652	360001	7.62	SeaLevel__01500m.raw	97.68	2.32	1	0
1750	354418	360001	7.63	SeaLevel__01750m.raw	98.45	1.55	1	0
2000	357375	360001	8.02	SeaLevel__02000m.raw	99.27	0.73	1	0
2250	359048	360001	7.81	SeaLevel__02250m.raw	99.74	0.26	1	0
2500	359856	360001	7.58	SeaLevel__02500m.raw	99.96	0.04	1	0
2750	360001	360001	7.64	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	360001	360001	8.09	SeaLevel__03000m.raw	100.00	0.00	1	0
