Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	322974	360001	7.72	SeaLevel__00250m.raw	89.71	10.29	1	0
500	330137	360001	7.69	SeaLevel__00500m.raw	91.70	8.30	1	0
750	336251	360001	7.79	SeaLevel__00750m.raw	93.40	6.60	1	0
1000	341571	360001	8.05	SeaLevel__01000m.raw	94.88	5.12	1	0
1250	346311	360001	7.73	SeaLevel__01250m.raw	96.20	3.80	1	0
1500	352527	360001	7.69	SeaLevel__01500m.raw	97.92	2.08	1	0
1750	356857	360001	7.71	SeaLevel__01750m.raw	99.13	0.87	1	0
2000	358987	360001	8.34	SeaLevel__02000m.raw	99.72	0.28	1	0
2250	359754	360001	8	SeaLevel__02250m.raw	99.93	0.07	1	0
2500	359952	360001	8.4	SeaLevel__02500m.raw	99.99	0.01	1	0
2750	359988	360001	7.91	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	359995	360001	8.33	SeaLevel__03000m.raw	100.00	0.00	1	0
