Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	267164	360001	7.54	SeaLevel__00000m.raw	74.21	25.79	1	0
5	268002	360001	7.74	SeaLevel__00005m.raw	74.44	25.56	1	0
10	268681	360001	7.56	SeaLevel__00010m.raw	74.63	25.37	1	0
15	269400	360001	7.52	SeaLevel__00015m.raw	74.83	25.17	1	0
20	269764	360001	7.54	SeaLevel__00020m.raw	74.93	25.07	1	0
25	270240	360001	7.75	SeaLevel__00025m.raw	75.07	24.93	1	0
30	270551	360001	7.52	SeaLevel__00030m.raw	75.15	24.85	1	0
35	270959	360001	7.51	SeaLevel__00035m.raw	75.27	24.73	1	0
40	271225	360001	7.53	SeaLevel__00040m.raw	75.34	24.66	1	0
45	271564	360001	7.71	SeaLevel__00045m.raw	75.43	24.57	1	0
50	271783	360001	7.54	SeaLevel__00050m.raw	75.50	24.50	1	0
55	272070	360001	7.49	SeaLevel__00055m.raw	75.57	24.43	1	0
60	272257	360001	7.57	SeaLevel__00060m.raw	75.63	24.37	1	0
65	272557	360001	7.82	SeaLevel__00065m.raw	75.71	24.29	1	0
70	272748	360001	7.49	SeaLevel__00070m.raw	75.76	24.24	1	0
75	273040	360001	7.52	SeaLevel__00075m.raw	75.84	24.16	1	0
80	273205	360001	7.54	SeaLevel__00080m.raw	75.89	24.11	1	0
85	273498	360001	7.75	SeaLevel__00085m.raw	75.97	24.03	1	0
90	273692	360001	7.5	SeaLevel__00090m.raw	76.03	23.97	1	0
95	273943	360001	7.53	SeaLevel__00095m.raw	76.10	23.90	1	0
100	274135	360001	7.55	SeaLevel__00100m.raw	76.15	23.85	1	0
105	274377	360001	7.81	SeaLevel__00105m.raw	76.22	23.78	1	0
110	274507	360001	7.54	SeaLevel__00110m.raw	76.25	23.75	1	0
115	274714	360001	7.56	SeaLevel__00115m.raw	76.31	23.69	1	0
120	274855	360001	7.72	SeaLevel__00120m.raw	76.35	23.65	1	0
125	275072	360001	7.8	SeaLevel__00125m.raw	76.41	23.59	1	0
130	275213	360001	7.54	SeaLevel__00130m.raw	76.45	23.55	1	0
135	275424	360001	7.5	SeaLevel__00135m.raw	76.51	23.49	1	0
140	275558	360001	7.58	SeaLevel__00140m.raw	76.54	23.46	1	0
145	275748	360001	7.79	SeaLevel__00145m.raw	76.60	23.40	1	0
150	275863	360001	7.51	SeaLevel__00150m.raw	76.63	23.37	1	0
155	276080	360001	7.54	SeaLevel__00155m.raw	76.69	23.31	1	0
160	276216	360001	7.75	SeaLevel__00160m.raw	76.73	23.27	1	0
165	276421	360001	7.77	SeaLevel__00165m.raw	76.78	23.22	1	0
170	276574	360001	7.52	SeaLevel__00170m.raw	76.83	23.17	1	0
175	276763	360001	7.57	SeaLevel__00175m.raw	76.88	23.12	1	0
180	276902	360001	7.56	SeaLevel__00180m.raw	76.92	23.08	1	0
185	277131	360001	7.81	SeaLevel__00185m.raw	76.98	23.02	1	0
190	277257	360001	7.55	SeaLevel__00190m.raw	77.02	22.98	1	0
195	277506	360001	7.63	SeaLevel__00195m.raw	77.08	22.92	1	0
200	277673	360001	7.56	SeaLevel__00200m.raw	77.13	22.87	1	0
