Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	197420	360001	8.07	SeaLevel__00250m.raw	54.84	45.16	1	0
500	203124	360001	7.57	SeaLevel__00500m.raw	56.42	43.58	1	0
750	209568	360001	7.59	SeaLevel__00750m.raw	58.21	41.79	1	0
1000	216902	360001	7.54	SeaLevel__01000m.raw	60.25	39.75	1	0
1250	224046	360001	7.96	SeaLevel__01250m.raw	62.23	37.77	1	0
1500	231726	360001	7.6	SeaLevel__01500m.raw	64.37	35.63	1	0
1750	241584	360001	7.59	SeaLevel__01750m.raw	67.11	32.89	1	0
2000	252050	360001	7.58	SeaLevel__02000m.raw	70.01	29.99	1	0
2250	261150	360001	7.86	SeaLevel__02250m.raw	72.54	27.46	1	0
2500	272354	360001	7.57	SeaLevel__02500m.raw	75.65	24.35	1	0
2750	287087	360001	7.66	SeaLevel__02750m.raw	79.75	20.25	1	0
3000	318491	360001	7.63	SeaLevel__03000m.raw	88.47	11.53	1	0
