Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	145824	360001	7.49	SeaLevel__00000m.raw	40.51	59.49	1	0
5	147087	360001	7.74	SeaLevel__00005m.raw	40.86	59.14	1	0
10	148291	360001	7.54	SeaLevel__00010m.raw	41.19	58.81	1	0
15	150937	360001	7.49	SeaLevel__00015m.raw	41.93	58.07	1	0
20	153540	360001	7.54	SeaLevel__00020m.raw	42.65	57.35	1	0
25	157566	360001	7.76	SeaLevel__00025m.raw	43.77	56.23	1	0
30	160202	360001	7.52	SeaLevel__00030m.raw	44.50	55.50	1	0
35	164759	360001	7.48	SeaLevel__00035m.raw	45.77	54.23	1	0
40	167733	360001	7.49	SeaLevel__00040m.raw	46.59	53.41	1	0
45	172238	360001	7.82	SeaLevel__00045m.raw	47.84	52.16	1	0
50	174973	360001	7.53	SeaLevel__00050m.raw	48.60	51.40	1	0
55	179095	360001	7.5	SeaLevel__00055m.raw	49.75	50.25	1	0
60	181479	360001	7.5	SeaLevel__00060m.raw	50.41	49.59	1	0
65	184614	360001	7.82	SeaLevel__00065m.raw	51.28	48.72	1	0
70	186480	360001	7.53	SeaLevel__00070m.raw	51.80	48.20	1	0
75	188996	360001	7.51	SeaLevel__00075m.raw	52.50	47.50	1	0
80	190533	360001	7.53	SeaLevel__00080m.raw	52.93	47.07	1	0
85	192600	360001	7.82	SeaLevel__00085m.raw	53.50	46.50	1	0
90	193875	360001	7.59	SeaLevel__00090m.raw	53.85	46.15	1	0
95	195696	360001	7.53	SeaLevel__00095m.raw	54.36	45.64	1	0
100	196784	360001	7.52	SeaLevel__00100m.raw	54.66	45.34	1	0
105	198317	360001	7.87	SeaLevel__00105m.raw	55.09	44.91	1	0
110	199376	360001	7.67	SeaLevel__00110m.raw	55.38	44.62	1	0
115	200840	360001	7.55	SeaLevel__00115m.raw	55.79	44.21	1	0
120	201814	360001	7.53	SeaLevel__00120m.raw	56.06	43.94	1	0
125	203202	360001	7.85	SeaLevel__00125m.raw	56.44	43.56	1	0
130	204088	360001	7.49	SeaLevel__00130m.raw	56.69	43.31	1	0
135	205397	360001	7.51	SeaLevel__00135m.raw	57.05	42.95	1	0
140	206218	360001	7.49	SeaLevel__00140m.raw	57.28	42.72	1	0
145	207527	360001	7.75	SeaLevel__00145m.raw	57.65	42.35	1	0
150	208372	360001	7.51	SeaLevel__00150m.raw	57.88	42.12	1	0
155	209598	360001	7.5	SeaLevel__00155m.raw	58.22	41.78	1	0
160	210442	360001	7.51	SeaLevel__00160m.raw	58.46	41.54	1	0
165	211737	360001	7.39	SeaLevel__00165m.raw	58.82	41.18	1	0
170	212591	360001	7.53	SeaLevel__00170m.raw	59.05	40.95	1	0
175	213888	360001	7.55	SeaLevel__00175m.raw	59.41	40.59	1	0
180	214718	360001	7.54	SeaLevel__00180m.raw	59.64	40.36	1	0
185	215886	360001	7.9	SeaLevel__00185m.raw	59.97	40.03	1	0
190	216685	360001	7.52	SeaLevel__00190m.raw	60.19	39.81	1	0
195	217857	360001	7.49	SeaLevel__00195m.raw	60.52	39.48	1	0
200	218589	360001	7.5	SeaLevel__00200m.raw	60.72	39.28	1	0
