Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	355956	360001	7.55	SeaLevel__00000m.raw	98.88	1.12	1	0
5	356145	360001	7.56	SeaLevel__00005m.raw	98.93	1.07	1	0
10	356185	360001	7.6	SeaLevel__00010m.raw	98.94	1.06	1	0
15	356241	360001	7.81	SeaLevel__00015m.raw	98.96	1.04	1	0
20	356270	360001	7.57	SeaLevel__00020m.raw	98.96	1.04	1	0
25	356312	360001	7.55	SeaLevel__00025m.raw	98.98	1.02	1	0
30	356337	360001	7.58	SeaLevel__00030m.raw	98.98	1.02	1	0
35	356357	360001	7.85	SeaLevel__00035m.raw	98.99	1.01	1	0
40	356376	360001	7.56	SeaLevel__00040m.raw	98.99	1.01	1	0
45	356409	360001	7.56	SeaLevel__00045m.raw	99.00	1.00	1	0
50	356420	360001	7.59	SeaLevel__00050m.raw	99.01	0.99	1	0
55	356439	360001	7.79	SeaLevel__00055m.raw	99.01	0.99	1	0
60	356453	360001	7.52	SeaLevel__00060m.raw	99.01	0.99	1	0
65	356475	360001	7.58	SeaLevel__00065m.raw	99.02	0.98	1	0
70	356500	360001	7.52	SeaLevel__00070m.raw	99.03	0.97	1	0
75	356524	360001	7.86	SeaLevel__00075m.raw	99.03	0.97	1	0
80	356534	360001	7.54	SeaLevel__00080m.raw	99.04	0.96	1	0
85	356550	360001	7.58	SeaLevel__00085m.raw	99.04	0.96	1	0
90	356562	360001	7.55	SeaLevel__00090m.raw	99.04	0.96	1	0
95	356578	360001	7.98	SeaLevel__00095m.raw	99.05	0.95	1	0
100	356589	360001	7.57	SeaLevel__00100m.raw	99.05	0.95	1	0
105	356608	360001	7.83	SeaLevel__00105m.raw	99.06	0.94	1	0
110	356623	360001	7.57	SeaLevel__00110m.raw	99.06	0.94	1	0
115	356638	360001	7.83	SeaLevel__00115m.raw	99.07	0.93	1	0
120	356655	360001	7.54	SeaLevel__00120m.raw	99.07	0.93	1	0
125	356672	360001	7.61	SeaLevel__00125m.raw	99.08	0.92	1	0
130	356684	360001	7.56	SeaLevel__00130m.raw	99.08	0.92	1	0
135	356709	360001	7.82	SeaLevel__00135m.raw	99.09	0.91	1	0
140	356724	360001	7.54	SeaLevel__00140m.raw	99.09	0.91	1	0
145	356751	360001	7.73	SeaLevel__00145m.raw	99.10	0.90	1	0
150	356762	360001	7.58	SeaLevel__00150m.raw	99.10	0.90	1	0
155	356781	360001	7.9	SeaLevel__00155m.raw	99.11	0.89	1	0
160	356804	360001	7.56	SeaLevel__00160m.raw	99.11	0.89	1	0
165	356831	360001	7.55	SeaLevel__00165m.raw	99.12	0.88	1	0
170	356843	360001	7.56	SeaLevel__00170m.raw	99.12	0.88	1	0
175	356861	360001	7.81	SeaLevel__00175m.raw	99.13	0.87	1	0
180	356877	360001	7.61	SeaLevel__00180m.raw	99.13	0.87	1	0
185	356902	360001	7.57	SeaLevel__00185m.raw	99.14	0.86	1	0
190	356912	360001	7.56	SeaLevel__00190m.raw	99.14	0.86	1	0
195	356934	360001	7.89	SeaLevel__00195m.raw	99.15	0.85	1	0
200	356946	360001	7.62	SeaLevel__00200m.raw	99.15	0.85	1	0
