Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	305186	360001	7.73	SeaLevel__00000m.raw	84.77	15.23	1	0
5	314525	360001	7.53	SeaLevel__00005m.raw	87.37	12.63	1	0
10	315670	360001	7.54	SeaLevel__00010m.raw	87.69	12.31	1	0
15	316865	360001	7.83	SeaLevel__00015m.raw	88.02	11.98	1	0
20	317545	360001	7.54	SeaLevel__00020m.raw	88.21	11.79	1	0
25	318410	360001	7.54	SeaLevel__00025m.raw	88.45	11.55	1	0
30	318916	360001	7.54	SeaLevel__00030m.raw	88.59	11.41	1	0
35	319567	360001	7.82	SeaLevel__00035m.raw	88.77	11.23	1	0
40	320011	360001	7.59	SeaLevel__00040m.raw	88.89	11.11	1	0
45	320581	360001	7.54	SeaLevel__00045m.raw	89.05	10.95	1	0
50	320940	360001	7.55	SeaLevel__00050m.raw	89.15	10.85	1	0
55	321434	360001	7.83	SeaLevel__00055m.raw	89.29	10.71	1	0
60	321757	360001	7.78	SeaLevel__00060m.raw	89.38	10.62	1	0
65	322222	360001	7.56	SeaLevel__00065m.raw	89.51	10.49	1	0
70	322541	360001	7.53	SeaLevel__00070m.raw	89.59	10.41	1	0
75	323015	360001	7.85	SeaLevel__00075m.raw	89.73	10.27	1	0
80	323327	360001	7.55	SeaLevel__00080m.raw	89.81	10.19	1	0
85	323788	360001	7.53	SeaLevel__00085m.raw	89.94	10.06	1	0
90	324078	360001	7.54	SeaLevel__00090m.raw	90.02	9.98	1	0
95	324514	360001	7.88	SeaLevel__00095m.raw	90.14	9.86	1	0
100	324803	360001	7.52	SeaLevel__00100m.raw	90.22	9.78	1	0
105	325204	360001	7.58	SeaLevel__00105m.raw	90.33	9.67	1	0
110	325518	360001	7.58	SeaLevel__00110m.raw	90.42	9.58	1	0
115	325917	360001	7.87	SeaLevel__00115m.raw	90.53	9.47	1	0
120	326215	360001	7.56	SeaLevel__00120m.raw	90.62	9.38	1	0
125	326626	360001	7.57	SeaLevel__00125m.raw	90.73	9.27	1	0
130	326930	360001	7.53	SeaLevel__00130m.raw	90.81	9.19	1	0
135	327414	360001	7.78	SeaLevel__00135m.raw	90.95	9.05	1	0
140	327707	360001	7.53	SeaLevel__00140m.raw	91.03	8.97	1	0
145	328199	360001	7.54	SeaLevel__00145m.raw	91.17	8.83	1	0
150	328551	360001	7.53	SeaLevel__00150m.raw	91.26	8.74	1	0
155	329168	360001	7.81	SeaLevel__00155m.raw	91.44	8.56	1	0
160	329492	360001	7.56	SeaLevel__00160m.raw	91.53	8.47	1	0
165	329882	360001	7.57	SeaLevel__00165m.raw	91.63	8.37	1	0
170	330135	360001	7.57	SeaLevel__00170m.raw	91.70	8.30	1	0
175	330486	360001	7.81	SeaLevel__00175m.raw	91.80	8.20	1	0
180	330742	360001	7.55	SeaLevel__00180m.raw	91.87	8.13	1	0
185	331062	360001	7.53	SeaLevel__00185m.raw	91.96	8.04	1	0
190	331277	360001	7.52	SeaLevel__00190m.raw	92.02	7.98	1	0
195	331588	360001	7.82	SeaLevel__00195m.raw	92.11	7.89	1	0
200	331783	360001	7.52	SeaLevel__00200m.raw	92.16	7.84	1	0
